Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1999-03-10,43.127,43.1534,42.4153,43.0743,5232000,43.0743,,
1999-03-11,43.3907,43.6411,42.4417,43.2852,9688600,43.1798,43.4781,42.8815
1999-03-12,43.1271,43.1534,41.8881,42.2308,8743600,42.8634,43.9794,41.7475
1999-03-15,42.5471,43.4961,42.099,43.4434,6369000,43.0084,44.0885,41.9284
1999-03-16,43.6279,43.997,43.1534,43.8125,4905800,43.1692,44.3491,41.9894
1999-03-17,43.8125,43.8652,43.3643,43.4961,3965000,43.2237,44.3123,42.1352
1999-03-18,43.4434,44.366,43.4302,44.3397,4848400,43.3831,44.6866,42.0797
1999-03-19,44.9196,44.9196,43.1798,43.2062,7160400,43.361,44.5743,42.1478
1999-03-22,43.3907,43.4961,42.5998,42.6789,5024800,43.2852,44.5078,42.0626
1999-03-23,42.4417,42.5999,41.0973,41.1763,10962400,43.0743,44.8372,41.3115
1999-03-24,41.5454,42.5998,40.9127,42.5735,8447000,43.0288,44.7283,41.3294
1999-03-25,43.2325,44.1288,42.9491,44.1288,8133800,43.1205,44.8608,41.3801
1999-03-26,43.7597,44.2606,43.4698,43.6543,8256200,43.1615,44.8539,41.4692
1999-03-29,44.1815,45.2623,43.9179,45.236,5113800,43.3097,45.2778,41.3416
1999-03-30,45.1832,45.5523,44.7351,44.9196,4940600,43.417,45.4877,41.3463
1999-03-31,45.6577,45.7105,44.1288,44.2606,8256600,43.4698,45.5142,41.4253
1999-04-01,45.5523,45.605,44.4451,45.1832,8715800,43.5706,45.7175,41.4236
1999-04-05,45.9148,46.8835,45.6314,46.8176,5697200,43.7509,46.3358,41.1661
1999-04-06,46.7649,47.4239,46.3695,46.9099,7522400,43.9172,46.8174,41.017
1999-04-07,47.3449,47.4503,45.4205,46.4222,11923600,44.0425,47.0794,41.0055
1999-04-08,46.3431,47.0154,45.3941,46.7913,7952400,44.2283,47.4642,40.9924
1999-04-09,46.7122,47.1867,46.5804,47.0812,4946800,44.4181,47.8599,40.9763
1999-04-12,45.9741,47.0813,45.9214,46.7649,10934000,44.6448,48.0773,41.2124
1999-04-13,47.0549,47.1603,45.7632,46.1323,9962200,44.7793,48.2242,41.3343
1999-04-14,46.7122,46.7649,44.2935,44.5506,21253800,44.8162,48.2332,41.3991
1999-04-15,44.7088,45.2294,43.1271,45.1569,17650600,44.8992,48.2614,41.537
1999-04-16,45.0514,45.0514,43.6016,43.8388,17274000,44.8742,48.2613,41.487
1999-04-19,44.1288,44.4979,41.3411,41.7826,19460600,44.803,48.3916,41.2144
1999-04-20,41.5981,43.0743,41.2027,42.7316,17413600,44.8056,48.3877,41.2235
1999-04-21,43.1271,44.8669,42.5471,44.8406,10940400,44.9888,48.138,41.8397
1999-04-22,45.2623,46.185,44.9658,46.0532,13630600,45.1628,48.1293,42.1963
1999-04-23,45.8159,47.0022,45.3414,46.6595,7064400,45.2893,48.2859,42.2928
1999-04-26,46.9758,48.083,46.8242,47.7337,5421000,45.4933,48.5754,42.4113
1999-04-27,48.083,48.3202,46.4024,47.0022,16482800,45.5816,48.733,42.4302
1999-04-28,46.6067,46.7649,45.1898,45.3941,7676800,45.6054,48.7429,42.4678
1999-04-29,45.1832,45.4469,44.0761,45.0251,19148200,45.6436,48.7304,42.5568
