Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2015-10-21,55.4679,56.3646,50.8455,50.8455,22498800,50.8455,,
2015-10-22,52.7592,53.8038,51.4926,52.4633,4545100,51.6544,53.9423,49.3665
2015-10-23,53.4063,53.6189,52.0196,52.1213,1967600,51.81,53.5153,50.1048
2015-10-26,52.6944,52.6944,50.4203,50.864,1466300,51.5735,53.2569,49.8902
2015-10-27,50.6606,50.8363,45.6315,49.7824,5949200,51.2153,53.3814,49.0493
2015-10-28,49.9395,50.069,46.3156,47.952,2411300,50.6714,53.9658,47.377
2015-10-29,47.952,48.5066,46.923,47.1662,1362800,50.1707,54.1788,46.1625
2015-10-30,47.6654,47.8872,45.9089,46.6207,1355100,49.7269,54.207,45.2468
2015-11-02,47.0182,49.1538,46.1215,49.0706,890200,49.654,53.8675,45.4405
2015-11-03,49.0798,50.8455,48.1831,48.4234,1022400,49.5309,53.579,45.4829
2015-11-04,48.9596,49.958,48.7655,49.4034,753300,49.5193,53.3604,45.6782
2015-11-05,49.4126,49.7824,47.7116,47.8318,820200,49.3787,53.1684,45.589
2015-11-06,48.257,48.4696,47.8872,48.4696,513500,49.3088,52.9721,45.6455
2015-11-09,48.8302,49.5975,48.0721,49.1815,442800,49.2997,52.8199,45.7795
2015-11-10,49.6437,49.9211,49.0798,49.9211,376800,49.3411,52.7484,45.9338
2015-11-11,49.9211,50.3833,49.0243,50.2354,471500,49.397,52.719,46.075
2015-11-12,50.2261,50.2908,49.237,50.032,379300,49.4344,52.6656,46.2031
2015-11-13,49.8748,49.8748,46.7039,47.5175,1337000,49.3279,52.5903,46.0655
2015-11-16,48.0259,48.0259,45.1416,45.7702,1297500,49.1406,52.7066,45.5746
2015-11-17,46.4821,46.935,45.1231,45.2803,897300,48.9476,52.8242,45.071
2015-11-18,45.6593,45.7369,43.6439,43.7087,1102000,48.5908,53.0079,44.1736
2015-11-19,43.8751,44.2448,42.3682,44.0045,2163800,48.1678,52.6432,43.6924
2015-11-20,44.2541,44.8273,44.023,44.4482,542500,47.7842,52.1467,43.4216
2015-11-23,44.4667,44.6424,42.5069,42.5254,1389000,47.3672,52.0709,42.6635
2015-11-24,42.5254,42.9506,41.2773,42.7842,1036600,47.0173,51.9976,42.037
2015-11-25,42.9876,43.2927,42.0631,42.211,868900,46.7303,52.128,41.3325
2015-11-27,42.1463,42.9136,41.9707,42.5808,285300,46.501,52.2018,40.8002
