Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1992-06-26,0.2435,0.258,0.2377,0.2493,224358400,0.2493,,
1992-06-29,0.2522,0.2725,0.2464,0.2667,58732800,0.258,0.2826,0.2334
1992-06-30,0.2725,0.2754,0.2551,0.258,34777600,0.258,0.2754,0.2406
1992-07-01,0.2609,0.2667,0.2522,0.2638,18316800,0.2594,0.2748,0.2441
1992-07-02,0.2667,0.2667,0.258,0.2638,13996800,0.2603,0.2741,0.2464
1992-07-06,0.2609,0.2638,0.258,0.2638,5753600,0.2609,0.2736,0.2482
1992-07-07,0.2638,0.2638,0.258,0.2638,10662400,0.2613,0.2731,0.2495
1992-07-08,0.2638,0.2638,0.2551,0.258,15500800,0.2609,0.272,0.2497
1992-07-09,0.2609,0.2667,0.258,0.2667,3923200,0.2615,0.2727,0.2504
1992-07-10,0.2667,0.2725,0.2609,0.2696,11040000,0.2623,0.274,0.2506
1992-07-13,0.2696,0.2754,0.2667,0.2754,5996800,0.2635,0.2771,0.2499
1992-07-14,0.2754,0.2841,0.2725,0.2754,17062400,0.2645,0.2791,0.2498
1992-07-15,0.2783,0.2841,0.2754,0.2841,4992000,0.266,0.2837,0.2483
1992-07-16,0.2841,0.3072,0.2812,0.3029,17062400,0.2686,0.2947,0.2426
1992-07-17,0.3043,0.3246,0.2957,0.3188,15667200,0.272,0.3081,0.2359
1992-07-20,0.3174,0.3246,0.3101,0.3217,19744000,0.2751,0.3179,0.2323
1992-07-21,0.3246,0.3304,0.3188,0.3246,7782400,0.278,0.3259,0.2301
1992-07-22,0.3217,0.3246,0.313,0.3217,10892800,0.2804,0.3313,0.2296
1992-07-23,0.3217,0.3275,0.3159,0.3275,10387200,0.2829,0.3369,0.229
1992-07-24,0.3217,0.3333,0.3188,0.3304,7052800,0.2853,0.3419,0.2286
1992-07-27,0.3333,0.3449,0.3304,0.3377,11430400,0.2897,0.3483,0.2311
1992-07-28,0.342,0.3449,0.3188,0.3246,18009600,0.2926,0.3521,0.2331
1992-07-29,0.3246,0.3246,0.3014,0.3087,30848000,0.2951,0.3527,0.2376
1992-07-30,0.3043,0.3101,0.2986,0.3072,11737600,0.2973,0.3532,0.2415
1992-07-31,0.3072,0.3101,0.3014,0.3087,6886400,0.2996,0.3533,0.2458
1992-08-03,0.3043,0.3159,0.3043,0.3116,4832000,0.302,0.3532,0.2507
1992-08-04,0.313,0.3188,0.3058,0.3174,6822400,0.3046,0.353,0.2563
1992-08-05,0.3159,0.3159,0.2986,0.3043,9516800,0.307,0.3501,0.2639
1992-08-06,0.3014,0.3043,0.2957,0.3043,3673600,0.3088,0.3476,0.2701
1992-08-07,0.3043,0.3159,0.2957,0.3159,8825600,0.3112,0.3453,0.277
1992-08-10,0.3101,0.3217,0.3072,0.3159,5888000,0.3132,0.3429,0.2835
1992-08-11,0.3217,0.3217,0.313,0.3188,4147200,0.3154,0.3392,0.2915
1992-08-12,0.313,0.3159,0.2986,0.3043,12736000,0.3164,0.336,0.2968
1992-08-13,0.3043,0.3087,0.2986,0.3043,48320000,0.3164,0.3358,0.2971
1992-08-14,0.3014,0.3072,0.2841,0.287,17849600,0.3149,0.3383,0.2915
1992-08-17,0.2899,0.2928,0.2841,0.2928,2681600,0.3134,0.3385,0.2883
1992-08-18,0.2841,0.2899,0.2841,0.2899,2860800,0.3117,0.3383,0.285
1992-08-19,0.2841,0.2899,0.2841,0.2899,2380800,0.3101,0.3379,0.2822
1992-08-20,0.2899,0.2971,0.2812,0.287,2489600,0.308,0.3365,0.2796
1992-08-21,0.287,0.287,0.2812,0.2812,2048000,0.3056,0.3344,0.2768
1992-08-24,0.2841,0.287,0.2783,0.2841,6905600,0.3029,0.329,0.2768
1992-08-25,0.2783,0.2841,0.2783,0.2812,4128000,0.3007,0.3264,0.275
1992-08-26,0.2783,0.2841,0.2667,0.2783,19385600,0.2992,0.3265,0.272
1992-08-27,0.2812,0.287,0.2783,0.2841,6169600,0.298,0.3258,0.2703
1992-08-28,0.2841,0.2899,0.2812,0.2899,3417600,0.2971,0.3246,0.2696
1992-08-31,0.2899,0.2928,0.2841,0.2884,4441600,0.2959,0.3228,0.269
1992-09-01,0.2899,0.2986,0.287,0.2928,2387200,0.2947,0.3197,0.2698
1992-09-02,0.2986,0.3217,0.2928,0.3203,11692800,0.2955,0.3227,0.2683
1992-09-03,0.3188,0.3362,0.3188,0.3304,16480000,0.2968,0.328,0.2656
1992-09-04,0.3304,0.3362,0.3275,0.3333,4249600,0.2977,0.3319,0.2634
1992-09-08,0.3362,0.3681,0.3304,0.3609,17139200,0.2999,0.3438,0.2561
1992-09-09,0.3449,0.3623,0.3362,0.3565,25299200,0.3018,0.3519,0.2518
1992-09-10,0.3507,0.3565,0.3449,0.3536,8889600,0.3043,0.3594,0.2491
1992-09-11,0.3507,0.371,0.3507,0.3623,13036800,0.3072,0.3681,0.2462
