Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2015-05-20,1.7,1.7,1.7,1.7,0,1.7,,
2015-05-21,2.8,2.874,2.411,2.568,123039000,2.134,3.3615,0.9065
2015-05-22,2.607,3.11,2.6,2.831,28412000,2.3663,3.55,1.1826
2015-05-26,2.98,3.034,2.908,2.965,8202000,2.516,3.6529,1.3791
2015-05-27,3.067,3.081,2.7,2.75,7976000,2.5628,3.5694,1.5562
2015-05-28,2.755,2.774,2.648,2.745,4000000,2.5932,3.5057,1.6807
2015-05-29,2.725,2.738,2.687,2.72,2554000,2.6113,3.4498,1.7728
2015-06-01,2.72,2.744,2.66,2.733,2569000,2.6265,3.4076,1.8454
2015-06-02,2.747,2.747,2.665,2.695,3798000,2.6341,3.3662,1.9021
2015-06-03,2.676,2.75,2.65,2.744,3024000,2.6451,3.3388,1.9514
2015-06-04,2.742,2.749,2.551,2.678,3226000,2.6481,3.3065,1.9897
2015-06-05,2.666,2.739,2.61,2.739,1294000,2.6557,3.2856,2.0257
2015-06-08,2.69,2.748,2.682,2.698,2809000,2.6589,3.2625,2.0554
2015-06-09,2.664,2.846,2.664,2.834,3375000,2.6714,3.2588,2.084
2015-06-10,2.845,2.888,2.795,2.81,2734000,2.6807,3.2512,2.1101
2015-06-11,2.849,3.073,2.849,3.073,4606000,2.7052,3.2902,2.1201
2015-06-12,3.132,3.37,3.125,3.363,8474000,2.7439,3.394,2.0937
2015-06-15,3.397,3.812,3.292,3.55,16943000,2.7887,3.525,2.0523
2015-06-16,3.606,3.8379,3.584,3.811,11095000,2.8425,3.6981,1.9868
2015-06-17,3.963,4.213,3.801,3.863,15952000,2.8935,3.8432,1.9438
2015-06-18,3.842,3.889,3.4326,3.555,11482000,2.9862,3.7974,2.1751
2015-06-19,3.633,3.674,3.255,3.552,9797000,3.0354,3.859,2.2119
2015-06-22,3.676,3.85,3.609,3.694,7922000,3.0786,3.9463,2.2109
2015-06-23,3.775,3.81,3.517,3.543,2939000,3.1075,3.9975,2.2175
2015-06-24,3.512,3.7429,3.414,3.596,5644000,3.1498,4.0486,2.251
2015-06-25,3.634,3.65,3.48,3.484,2082000,3.1867,4.0762,2.2973
2015-06-26,3.487,3.532,3.263,3.352,3465000,3.2183,4.0826,2.3541
2015-06-29,3.252,3.351,3.12,3.132,3155000,3.2383,4.0733,2.4033
2015-06-30,3.15,3.444,3.15,3.395,4733000,3.2733,4.0702,2.4764
2015-07-01,3.403,3.497,2.988,3.111,10126000,3.2916,4.0534,2.5299
2015-07-02,3.151,3.173,3.062,3.131,3032000,3.3143,4.0244,2.6042
2015-07-06,3.107,3.174,3.038,3.053,1493000,3.33,3.9992,2.6608
2015-07-07,3.047,3.083,2.85,3.076,3489000,3.3489,3.962,2.7358
2015-07-08,3.002,3.036,2.903,2.919,1869000,3.3531,3.9522,2.7541
2015-07-09,2.973,3.038,2.88,2.906,2491000,3.3579,3.94,2.7759
2015-07-10,2.932,3.029,2.91,2.96,2805000,3.3523,3.948,2.7566
2015-07-13,2.985,3.099,2.976,3.042,2201000,3.3362,3.9478,2.7247
2015-07-14,3.078,3.1327,3.05,3.086,1455000,3.313,3.9257,2.7004
2015-07-15,3.089,3.101,2.891,2.934,3570000,3.2692,3.8568,2.6816
2015-07-16,2.906,2.987,2.8931,2.939,1482000,3.223,3.7569,2.6891
2015-07-17,2.932,3.235,2.915,3.227,16198000,3.2066,3.7172,2.696
2015-07-20,3.237,3.393,3.1641,3.375,4140000,3.1977,3.6889,2.7066
2015-07-21,3.395,3.466,3.209,3.322,4148000,3.1791,3.6163,2.742
2015-07-22,3.299,3.349,3.136,3.214,2556000,3.1627,3.5657,2.7597
2015-07-23,3.259,3.443,3.258,3.311,2655000,3.1484,3.5043,2.7926
2015-07-24,3.345,3.475,3.324,3.357,3577000,3.1421,3.4766,2.8076
2015-07-27,3.34,3.395,3.205,3.287,2005000,3.1388,3.466,2.8117
2015-07-28,3.35,3.448,3.283,3.406,1746000,3.1525,3.5007,2.8044
2015-07-29,3.41,3.485,3.32,3.416,2008000,3.1536,3.505,2.8022
2015-07-30,3.8655,4.025,3.701,3.813,11622000,3.1887,3.6464,2.731
2015-07-31,3.813,3.825,3.635,3.739,5258000,3.2191,3.7374,2.7008
2015-08-03,3.749,4.049,3.66,4.036,5351000,3.2682,3.8952,2.6413
2015-08-04,4.011,4.111,3.813,3.841,5725000,3.3065,3.976,2.637
2015-08-05,3.902,3.997,3.816,3.845,2911000,3.3528,4.0374,2.6682
2015-08-06,3.84,3.875,3.52,3.628,3827000,3.3889,4.05,2.7278
2015-08-07,3.627,3.627,3.425,3.516,3215000,3.4167,4.048,2.7854
2015-08-10,3.53,3.614,3.287,3.347,4799000,3.4319,4.0394,2.8245
2015-08-11,3.366,3.559,3.2964,3.514,2693000,3.4533,4.0392,2.8675
2015-08-12,3.485,3.521,3.375,3.473,2369000,3.4803,4.0128,2.9478
2015-08-13,3.479,3.649,3.451,3.531,2259000,3.5099,3.9775,3.0423
2015-08-14,3.5,3.575,3.409,3.456,1437000,3.5213,3.9707,3.072
2015-08-17,3.477,3.5,3.33,3.441,1623000,3.5246,3.9704,3.0789
2015-08-18,3.418,3.418,3.248,3.26,1870000,3.5215,3.974,3.0691
2015-08-19,3.237,3.247,3.06,3.11,4447000,3.5163,3.9858,3.0469
2015-08-20,3.076,3.11,2.915,2.922,2696000,3.4969,4.0301,2.9637
2015-08-21,2.875,2.997,2.731,2.777,4042000,3.4679,4.089,2.8468
2015-08-24,2.551,2.849,2.27,2.628,4271000,3.4349,4.158,2.7119
2015-08-25,2.829,2.978,2.685,2.693,3043000,3.3993,4.195,2.6036
2015-08-26,2.85,2.857,2.63,2.822,3901000,3.3696,4.206,2.5332
2015-08-27,2.894,2.96,2.78,2.851,2682000,3.3215,4.1612,2.4818
2015-08-28,2.836,2.9008,2.772,2.8,1370000,3.2745,4.1209,2.4282
2015-08-31,2.814,2.877,2.709,2.754,1305000,3.2104,4.0067,2.4142
2015-09-01,2.729,2.729,2.639,2.66,1301000,3.1514,3.9256,2.3772
2015-09-02,2.673,2.7549,2.606,2.67,1670000,3.0926,3.8223,2.363
2015-09-03,2.656,2.8,2.651,2.715,1325000,3.047,3.7493,2.3447
2015-09-04,2.698,2.723,2.637,2.681,1291000,3.0052,3.6892,2.3213
2015-09-08,2.703,2.7645,2.6745,2.714,1074000,2.9736,3.6495,2.2977
2015-09-09,2.79,2.851,2.589,2.601,3204000,2.928,3.5728,2.2831
2015-09-10,2.605,2.6474,2.558,2.577,1391000,2.8831,3.4921,2.2742
2015-09-11,2.555,2.647,2.555,2.636,1874000,2.8384,3.374,2.3028
2015-09-14,2.627,2.726,2.601,2.721,2209000,2.8016,3.2531,2.3502
2015-09-15,2.714,2.846,2.71,2.811,2511000,2.7701,3.1071,2.4332
2015-09-16,2.813,2.926,2.804,2.891,1331000,2.7517,3.006,2.4974
2015-09-17,2.989,3.795,2.985,3.555,21123000,2.774,3.188,2.3599
2015-09-18,3.5725,3.747,3.452,3.566,7867000,2.8062,3.3488,2.2635
2015-09-21,3.57,3.7,3.475,3.483,3935000,2.8415,3.4624,2.2205
2015-09-22,3.45,3.45,3.281,3.366,3327000,2.8784,3.5327,2.224
2015-09-23,3.353,3.467,3.283,3.35,3400000,2.9112,3.5918,2.2306
2015-09-24,3.298,3.409,3.209,3.347,2446000,2.9374,3.6436,2.2313
2015-09-25,3.385,3.564,3.312,3.391,3552000,2.9644,3.6974,2.2315
2015-09-28,3.364,3.3967,3.25,3.305,2049000,2.9897,3.7335,2.2459
2015-09-29,3.241,3.3985,3.241,3.364,2213000,3.0202,3.7733,2.2671
2015-09-30,3.569,3.5765,3.366,3.52,2999000,3.0632,3.8278,2.2986
2015-10-01,3.537,3.575,3.373,3.507,2480000,3.105,3.8707,2.3394
2015-10-02,3.465,3.61,3.419,3.581,2366000,3.1484,3.9191,2.3776
2015-10-05,3.605,3.929,3.605,3.676,6644000,3.1981,3.9702,2.426
2015-10-06,3.672,3.742,3.501,3.621,2809000,3.2435,4.0023,2.4846
2015-10-07,3.601,3.737,3.5902,3.733,2363000,3.3001,4.0253,2.5748
2015-10-08,3.721,3.9,3.645,3.824,4720000,3.3624,4.0386,2.6862
2015-10-09,3.84,3.8872,3.66,3.702,1640000,3.4157,4.0145,2.8169
2015-10-12,3.704,3.7342,3.05,3.431,8194000,3.4512,3.9529,2.9495
2015-10-13,3.497,3.56,3.306,3.312,1912000,3.4763,3.8847,3.0678
2015-10-14,3.349,3.45,3.2235,3.364,2947000,3.4999,3.8081,3.1917
2015-10-15,3.364,3.442,3.32,3.414,2626000,3.4929,3.8022,3.1835
2015-10-16,3.451,3.459,3.34,3.433,2690000,3.4862,3.7947,3.1777
2015-10-19,3.428,3.489,3.311,3.336,2958000,3.4789,3.7945,3.1632
2015-10-20,3.344,3.353,3.119,3.15,2847000,3.4681,3.8134,3.1227
2015-10-21,3.154,3.254,3.132,3.195,1534000,3.4603,3.8233,3.0973
2015-10-22,3.227,3.245,3.171,3.201,2293000,3.453,3.8311,3.0749
2015-10-23,3.198,3.2434,3.109,3.166,1998000,3.4418,3.8405,3.043
2015-10-26,3.166,3.175,3.076,3.107,1080000,3.4319,3.854,3.0097
2015-10-27,3.068,3.104,2.972,3.104,2962000,3.4189,3.8651,2.9726
2015-10-28,3.062,3.124,3.026,3.112,1091000,3.3985,3.8622,2.9347
2015-10-29,3.082,3.202,3.011,3.159,1715000,3.3811,3.8537,2.9084
2015-10-30,3.149,3.249,3.1,3.222,2607000,3.3631,3.831,2.8952
2015-11-02,3.236,3.362,3.091,3.096,3020000,3.3341,3.7922,2.876
2015-11-03,3.105,3.175,2.964,3.144,5540000,3.3102,3.7549,2.8656
2015-11-04,3.373,3.393,2.963,3.175,9637000,3.2823,3.6832,2.8815
2015-11-05,3.251,3.354,3.135,3.162,5636000,3.2492,3.5612,2.9373
2015-11-06,3.16,3.241,3.149,3.154,4018000,3.2219,3.4519,2.9918
2015-11-09,3.163,3.164,2.974,3.023,2992000,3.2015,3.4257,2.9772
2015-11-10,3.01,3.045,2.82,2.859,3445000,3.1788,3.4438,2.9138
2015-11-11,2.883,2.9,2.77,2.818,3108000,3.1515,3.447,2.856
2015-11-12,2.8,2.989,2.758,2.886,5408000,3.1251,3.4161,2.8341
2015-11-13,2.893,3.0,2.817,2.833,3688000,3.0951,3.376,2.8142
2015-11-16,2.826,2.863,2.638,2.735,7292000,3.065,3.3654,2.7647
2015-11-17,2.65,2.7,2.553,2.639,26041000,3.0395,3.3918,2.6872
2015-11-18,2.687,2.8,2.65,2.8,19074000,3.0197,3.3796,2.6599
2015-11-19,2.8,2.972,2.784,2.945,12337000,3.0069,3.3577,2.6562
2015-11-20,2.95,2.96,2.772,2.823,8842000,2.9898,3.3414,2.6382
