Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2020-09-16,245.0,319.0,231.11,253.93,36099700,253.93,,
2020-09-17,230.76,241.5,215.24,227.54,11907500,240.735,278.0561,203.4139
2020-09-18,235.0,249.0,218.59,240.0,7475400,240.49,266.8936,214.0864
2020-09-21,230.0,241.5,218.6,228.85,5524900,237.58,262.0802,213.0798
2020-09-22,238.5,239.0,225.15,235.16,3889100,237.096,258.4239,215.7681
2020-09-23,243.5,254.8,213.0,217.39,5851900,233.8117,258.7674,208.856
2020-09-24,213.51,230.95,208.55,226.74,4822000,232.8014,256.2015,209.4013
2020-09-25,228.12,236.26,227.9,229.0,1985500,232.3263,254.1567,210.4958
2020-09-28,235.93,253.0,235.93,250.41,4241900,234.3356,258.0493,210.6219
2020-09-29,255.0,259.7,246.03,259.13,5290600,236.815,264.1237,209.5063
2020-09-30,261.5,278.26,243.05,251.0,5418900,238.1045,265.3874,210.8217
2020-10-01,255.25,255.91,238.0,243.46,3977400,238.5508,264.7472,212.3545
2020-10-02,232.44,243.12,227.0,227.1,2726200,237.67,263.5429,211.7971
2020-10-05,231.97,243.43,231.201,240.0,2362100,237.8364,262.7255,212.9474
2020-10-06,244.18,247.99,239.0,245.1,1572800,238.3207,262.5959,214.0455
2020-10-07,245.5,252.36,245.29,246.0,1682800,238.8006,262.5649,215.0363
2020-10-08,250.0,250.0,239.99,240.19,1343800,238.8824,261.9019,215.8628
2020-10-09,242.0,243.695,235.47,238.0,1728000,238.8333,261.1695,216.4972
2020-10-12,250.32,251.5,243.0,243.97,3138900,239.1037,260.9381,217.2693
2020-10-13,247.0,250.5,245.27,249.61,1462400,239.629,261.3942,217.8638
2020-10-14,251.99,252.0,239.0,243.18,1707500,239.0915,259.8787,218.3043
2020-10-15,236.03,241.355,231.46,241.0,1843600,239.7645,259.8363,219.6928
2020-10-16,242.0,245.99,241.59,242.52,1016000,239.8905,260.0001,219.7809
2020-10-19,245.0,249.86,243.0,246.78,1535100,240.787,260.4171,221.1569
2020-10-20,247.0,252.5,243.3,251.77,1734300,241.6175,261.6467,221.5883
2020-10-21,251.65,271.29,250.35,270.61,3359500,244.2785,264.8877,223.6693
2020-10-22,269.01,301.0,263.0,297.09,5192800,247.796,277.7135,217.8785
2020-10-23,290.34,294.0,262.24,265.05,5619300,249.5985,279.0887,220.1083
2020-10-26,266.07,271.0,244.63,251.39,4040100,249.6475,279.1467,220.1483
2020-10-27,254.89,273.0,253.99,266.77,3492900,250.0295,280.2351,219.8239
2020-10-28,258.5,272.53,254.01,272.44,2094300,251.1015,282.9303,219.2727
2020-10-29,273.8,276.22,264.16,265.88,1146900,252.2225,284.4943,219.9507
2020-10-30,261.03,262.63,241.5,250.02,2397600,253.3685,283.4366,223.3004
2020-11-02,254.1,260.825,247.0,252.23,1301000,253.98,283.3936,224.5664
2020-11-03,256.0,264.54,254.05,262.13,1376400,254.8315,284.1486,225.5144
2020-11-04,270.79,274.87,262.2,263.91,1394700,255.727,285.0024,226.4516
2020-11-05,271.48,271.69,258.9,263.21,1272500,256.878,285.3813,228.3747
2020-11-06,263.44,270.0,259.2,265.0,986800,258.228,285.4975,230.9585
2020-11-09,263.99,265.95,239.0,239.84,2965900,258.0215,285.8033,230.2397
2020-11-10,249.65,249.94,229.98,235.68,2266800,257.325,286.6503,227.9997
2020-11-11,241.71,246.89,237.5,240.76,1442400,257.204,286.7938,227.6142
2020-11-12,243.8,244.203,232.16,235.38,1741200,256.923,287.2581,226.5879
2020-11-13,237.11,241.625,232.3,234.8,1487700,256.537,287.8253,225.2487
2020-11-16,234.0,244.18,230.25,241.85,1799500,256.2905,287.9776,224.6034
2020-11-17,245.0,251.56,243.73,248.03,1629600,256.1035,287.9467,224.2603
2020-11-18,253.0,262.27,250.735,260.54,2202300,255.6,286.7891,224.4109
2020-11-19,259.21,268.57,253.25,264.0,1592100,253.9455,278.7182,229.1728
2020-11-20,269.0,273.165,264.0,266.0,1592000,253.993,278.8588,229.1272
2020-11-23,267.1,274.15,259.1,274.15,1347600,255.131,281.5311,228.7309
2020-11-24,275.1,283.39,267.49,282.1,1730600,255.8975,284.5173,227.2777
2020-11-25,277.78,309.77,277.3,303.02,2912100,257.4265,292.3424,222.5106
2020-11-27,310.0,334.62,309.73,328.79,3293800,260.572,307.8433,213.3007
2020-11-30,338.38,342.0,312.13,325.84,3550400,264.363,319.5667,209.1593
2020-12-01,321.63,326.0,302.28,305.64,2651800,267.0335,324.8705,209.1965
2020-12-02,293.79,306.74,288.0,292.69,3575300,268.5615,327.4581,209.6649
2020-12-03,290.54,343.0,289.0,339.89,11102600,272.3605,339.2529,205.4681
2020-12-04,335.4,395.8,334.0,387.7,18611700,278.585,362.8139,194.3561
2020-12-07,393.5,404.43,371.0,388.96,8134900,284.783,382.0387,187.5273
2020-12-08,388.8,429.0,386.25,390.0,11511700,292.291,397.7744,186.8077
2020-12-09,393.4,406.99,361.012,371.26,8980200,299.07,406.6405,191.4995
2020-12-10,362.0,390.07,360.61,373.28,4906300,305.696,414.4625,196.9295
2020-12-11,360.4,369.1,347.26,353.96,6362600,311.625,417.1315,206.1185
2020-12-14,352.49,357.98,327.16,329.15,6977100,316.3425,415.6402,217.0448
2020-12-15,308.98,329.0,303.54,328.61,20379200,320.6805,413.6549,227.7061
2020-12-16,328.43,338.89,320.09,329.97,6427700,324.7775,411.2677,238.2873
2020-12-17,333.82,337.1,323.493,325.54,3717100,328.0275,409.0675,246.9875
2020-12-18,332.77,346.88,324.88,334.25,8116000,331.54,406.7771,256.3029
2020-12-21,329.0,350.0,329.0,349.85,5879500,335.7325,404.6736,266.7914
2020-12-22,349.89,359.55,338.01,341.16,4685200,339.083,401.6403,276.5257
2020-12-23,341.16,343.4,328.26,331.65,2745800,341.5605,398.2668,284.8542
2020-12-24,334.1,338.0,321.3,323.04,2191200,342.5615,397.0674,288.0556
2020-12-28,324.87,327.79,302.67,302.81,4756600,341.2625,398.3285,284.1965
2020-12-29,305.25,314.41,298.13,304.05,4827400,340.173,399.2745,281.0715
2020-12-30,304.0,307.35,297.75,300.92,2631200,339.937,399.6536,280.2204
2020-12-31,299.7,301.561,280.73,281.4,5313800,339.3725,401.1476,277.5974
2021-01-04,285.41,290.8,274.44,278.24,3948500,336.29,403.8391,268.7409
2021-01-05,280.62,293.49,279.3,283.83,5202600,331.0965,397.9715,264.2215
2021-01-06,279.99,283.639,266.41,268.02,5736800,325.0495,391.7656,258.3334
2021-01-07,272.59,304.9,267.7,304.2,16546600,320.7595,380.567,260.952
2021-01-08,315.0,325.72,298.0,300.1,9106800,317.2015,372.6685,261.7345
