Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2020-04-10,0.832,1.3135,0.6942,0.9511,87364276,0.9511,,
2020-04-11,0.9511,1.0491,0.765,0.7768,43862444,0.8639,1.1103,0.6175
2020-04-12,0.7854,0.9567,0.7624,0.8825,38736897,0.8701,1.0457,0.6946
2020-04-13,0.8908,0.8916,0.774,0.7778,18211285,0.8471,1.0175,0.6766
2020-04-14,0.7778,0.7965,0.6282,0.6619,16747614,0.81,1.0319,0.5882
2020-04-15,0.6693,0.705,0.6215,0.6467,13075275,0.7828,1.0219,0.5437
2020-04-16,0.6309,0.7742,0.6251,0.6908,21346031,0.7697,0.9987,0.5406
2020-04-17,0.6893,0.7196,0.6607,0.6607,9870810,0.756,0.9817,0.5304
2020-04-18,0.6607,0.7176,0.6594,0.6811,9782112,0.7477,0.9646,0.5308
2020-04-19,0.6815,0.6846,0.5985,0.607,9289670,0.7336,0.9567,0.5106
2020-04-20,0.6129,0.6393,0.5206,0.5388,8342616,0.7159,0.9579,0.4739
2020-04-21,0.5414,0.6046,0.5085,0.5877,9711507,0.7052,0.9476,0.4629
2020-04-22,0.5812,0.707,0.5696,0.6916,18828400,0.7042,0.9363,0.472
2020-04-23,0.6853,0.6981,0.6003,0.6275,13485271,0.6987,0.9255,0.4719
2020-04-24,0.624,0.671,0.6139,0.6342,9064190,0.6944,0.9155,0.4734
2020-04-25,0.6305,0.6709,0.6215,0.6433,7311905,0.6912,0.9063,0.4761
2020-04-26,0.6532,0.6915,0.6312,0.6355,8320760,0.6879,0.8979,0.4779
2020-04-27,0.6357,0.6603,0.561,0.5724,7406934,0.6815,0.8924,0.4706
2020-04-28,0.5783,0.6921,0.5685,0.6613,7470201,0.6805,0.8856,0.4753
2020-04-29,0.6623,0.7778,0.6553,0.7458,8801144,0.6837,0.8855,0.4819
2020-04-30,0.7472,0.8008,0.6879,0.691,5016892,0.6707,0.8288,0.5127
2020-05-01,0.691,0.7371,0.6859,0.7288,4164272,0.6683,0.821,0.5157
2020-05-02,0.7273,0.749,0.7079,0.7159,3441356,0.66,0.7776,0.5424
2020-05-03,0.7148,0.7298,0.6566,0.6795,3328344,0.6551,0.7594,0.5508
2020-05-04,0.6796,0.7058,0.6184,0.6675,3443698,0.6554,0.7598,0.5509
2020-05-05,0.6734,0.6862,0.6265,0.6418,2847469,0.6551,0.7596,0.5506
2020-05-06,0.6425,0.6739,0.6226,0.6226,2677563,0.6517,0.7558,0.5476
2020-05-07,0.6226,0.6323,0.5734,0.613,3355830,0.6493,0.7547,0.5439
2020-05-08,0.613,0.6366,0.5899,0.6049,2488195,0.6455,0.7515,0.5395
2020-05-09,0.604,0.6254,0.5884,0.6045,2128503,0.6454,0.7516,0.5392
2020-05-10,0.6045,0.6123,0.5131,0.537,2327581,0.6453,0.7519,0.5387
2020-05-11,0.5363,0.5719,0.5052,0.5153,2098481,0.6417,0.7607,0.5226
2020-05-12,0.5134,0.5598,0.5053,0.5386,2198625,0.634,0.7591,0.509
