Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1973-02-21,0.9977,1.0308,0.9977,1.0095,1890625,1.0095,,
1973-02-22,1.0095,1.0095,0.9859,0.9859,1127500,0.9977,1.0311,0.9643
1973-02-23,0.9835,0.9835,0.9622,0.967,866250,0.9875,1.0301,0.9448
1973-02-26,0.967,0.9693,0.9339,0.9528,2110625,0.9788,1.0279,0.9296
1973-02-27,0.9528,0.9528,0.9315,0.9315,1254687,0.9693,1.0293,0.9093
1973-02-28,0.9315,0.9551,0.9102,0.9504,1935312,0.9662,1.022,0.9103
1973-03-01,0.948,0.948,0.9291,0.9291,959062,0.9609,1.019,0.9027
1973-03-02,0.9197,0.9197,0.896,0.9149,1952500,0.9551,1.018,0.8923
1973-03-05,0.9102,0.9102,0.8417,0.8629,4296875,0.9449,1.03,0.8598
1973-03-06,0.8629,0.8748,0.8535,0.8748,1663750,0.9379,1.0295,0.8462
1973-03-07,0.8937,0.9173,0.8937,0.9079,4386250,0.9352,1.024,0.8463
1973-03-08,0.9079,0.9173,0.8511,0.8984,1302812,0.9321,1.0194,0.8448
1973-03-09,0.8984,0.8984,0.8606,0.8653,5922812,0.927,1.0184,0.8355
1973-03-12,0.8582,0.8582,0.8227,0.8275,2265312,0.9198,1.0225,0.8172
1973-03-13,0.8275,0.87,0.8133,0.8369,2131250,0.9143,1.0221,0.8065
1973-03-14,0.8393,0.87,0.8393,0.87,1344062,0.9115,1.018,0.8051
1973-03-15,0.8677,0.8677,0.8582,0.8606,395312,0.9086,1.0146,0.8025
1973-03-16,0.8606,0.8653,0.8464,0.8582,1440312,0.9058,1.0113,0.8002
1973-03-19,0.8511,0.8511,0.8393,0.8488,2224062,0.9028,1.0086,0.7969
1973-03-20,0.8488,0.8511,0.8369,0.8464,1127500,0.8999,1.006,0.7938
1973-03-21,0.8464,0.8558,0.8062,0.8086,1216875,0.8899,0.9902,0.7896
1973-03-22,0.8038,0.8038,0.7778,0.7896,1632812,0.8801,0.9792,0.7809
1973-03-23,0.7896,0.8133,0.7826,0.8133,1278750,0.8724,0.9669,0.7779
1973-03-26,0.8133,0.8488,0.7967,0.8369,1460937,0.8666,0.9543,0.7789
1973-03-27,0.8369,0.8818,0.8322,0.8771,2007500,0.8639,0.9463,0.7814
1973-03-28,0.8771,0.9079,0.87,0.8866,2131250,0.8607,0.9334,0.788
1973-03-29,0.8866,0.9291,0.8842,0.9079,1629375,0.8596,0.9287,0.7906
1973-03-30,0.9079,0.9126,0.8818,0.8937,1093125,0.8586,0.9246,0.7925
1973-04-02,0.8937,0.8984,0.8771,0.8889,570625,0.8599,0.9273,0.7924
