Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2018-04-03,165.9,169.0,148.26,149.01,30526500,149.01,,
2018-04-04,140.0,148.93,135.51,144.22,11702900,146.615,153.3891,139.8409
2018-04-05,149.23,152.41,141.25,143.99,7372800,145.74,151.4085,140.0715
2018-04-06,146.07,148.73,144.67,147.92,4228100,146.285,151.401,141.169
2018-04-09,149.5,151.0,148.59,150.0,2051400,147.028,152.5661,141.4899
2018-04-10,152.0,156.74,151.133,154.9,2980000,148.34,156.4547,140.2253
2018-04-11,154.0,154.15,147.5,149.57,1874000,148.5157,155.9815,141.0499
2018-04-12,150.25,151.0,148.65,149.1,1371900,148.5888,155.5131,141.6644
2018-04-13,149.8,150.42,148.05,149.0,1608100,148.6344,155.1174,142.1515
2018-04-16,150.0,150.0,142.74,144.32,1454700,148.203,154.8966,141.5094
2018-04-17,146.02,149.84,146.0,148.49,1743100,148.2291,154.5816,141.8766
2018-04-18,149.94,155.99,149.56,154.91,2235300,148.7858,155.9666,141.6051
2018-04-19,154.4,155.03,152.01,153.47,1056900,149.1462,156.4958,141.7965
2018-04-20,152.35,159.0,151.23,158.45,2339000,149.8107,158.4475,141.1739
2018-04-23,159.4,160.68,154.606,158.04,2436500,150.3593,159.7041,141.0145
2018-04-24,159.0,159.26,153.52,155.07,1180400,150.6538,159.9839,141.3236
2018-04-25,153.95,154.6,150.059,153.33,1884600,150.8112,159.9378,141.6845
2018-04-26,153.0,157.8,151.32,156.6,1277200,151.1328,160.3979,141.8676
2018-04-27,157.37,160.0,157.0,159.98,1737800,151.5984,161.4753,141.7216
2018-04-30,161.51,162.88,159.7,161.67,3638400,152.102,162.7183,141.4857
2018-05-01,162.12,165.17,161.21,164.88,2963900,152.8955,164.8293,140.9617
2018-05-02,166.52,171.23,166.0,170.0,6942800,154.1845,167.6443,140.7247
2018-05-03,154.121,161.11,151.11,160.38,11094800,155.004,167.8313,142.1767
2018-05-04,161.11,161.11,152.56,154.26,4292600,155.321,167.7173,142.9247
2018-05-07,154.5,154.71,148.061,150.0,5623700,155.321,167.7173,142.9247
2018-05-08,151.02,154.65,150.26,150.64,2460300,155.108,167.68,142.5361
2018-05-09,150.52,150.97,148.49,150.07,1857400,155.133,167.6605,142.6055
2018-05-10,151.4,159.95,150.35,158.13,3606600,155.5845,167.8445,143.3245
2018-05-11,158.0,158.24,155.28,156.77,1601300,155.973,167.8406,144.1054
2018-05-14,159.48,164.95,156.77,159.97,4753300,156.7555,167.3875,146.1236
2018-05-15,156.75,160.99,155.324,158.71,2976200,157.2665,167.1842,147.3488
2018-05-16,158.16,163.0,158.08,161.39,2077800,157.5905,167.6069,147.5741
2018-05-17,159.17,159.48,156.75,158.76,2470900,157.855,167.691,148.019
2018-05-18,160.0,160.05,150.78,150.8,4152400,157.4725,167.7941,147.1509
2018-05-21,153.36,153.74,149.98,150.22,1948700,157.0815,167.8934,146.2696
2018-05-22,150.63,153.39,150.05,150.43,1194400,156.8495,168.0358,145.6632
2018-05-23,150.43,154.56,150.0,154.37,1202600,156.9015,168.0284,145.7746
2018-05-24,154.32,156.865,153.34,154.59,1083300,156.801,167.9756,145.6264
2018-05-25,155.71,157.75,154.7,156.6,1288500,156.632,167.706,145.558
2018-05-29,156.1,156.56,152.63,154.62,1314300,156.2795,167.1247,145.4343
2018-05-30,156.6,156.93,153.71,156.38,1085500,155.8545,165.9187,145.7903
2018-05-31,156.82,158.845,155.15,157.71,1446800,155.24,162.8752,147.6048
2018-06-01,158.9,161.81,157.35,159.24,1952400,155.183,162.6723,147.6937
2018-06-04,159.54,162.97,158.1,162.83,2016900,155.6115,163.8242,147.3988
2018-06-05,162.5,165.06,161.23,164.96,1694400,156.3595,165.1266,147.5924
2018-06-06,164.09,165.64,159.205,165.64,2264400,157.1095,166.369,147.85
2018-06-07,168.75,168.75,164.663,166.03,2207400,157.9075,167.3615,148.4535
2018-06-08,165.5,172.93,165.04,171.48,3528900,158.575,169.8121,147.3379
2018-06-11,171.5,172.75,169.22,172.37,2347400,159.355,172.1256,146.5844
2018-06-12,173.0,175.93,169.89,170.23,2231500,159.868,173.5354,146.2006
2018-06-13,172.17,172.749,170.0,170.82,1230700,160.4735,174.9726,145.9744
2018-06-14,169.5,180.02,169.49,178.1,4311600,161.309,177.8171,144.8009
2018-06-15,175.81,176.925,172.0,175.02,1983200,162.122,179.6703,144.5737
2018-06-18,173.46,175.95,171.269,174.35,937600,163.2995,180.8094,145.7896
2018-06-19,171.53,173.25,167.06,169.89,1627700,164.283,180.8858,147.6802
2018-06-20,172.88,176.77,170.5,176.4,2365100,165.5815,181.6769,149.4861
2018-06-21,179.0,182.18,177.195,179.53,3782000,166.8395,183.1765,150.5025
2018-06-22,181.8,182.45,177.402,180.94,1472000,168.157,184.5843,151.7297
2018-06-25,180.0,180.0,166.0,170.37,2878800,168.8455,184.3624,153.3286
2018-06-26,174.37,177.0,172.54,175.98,1658900,169.9135,184.1993,155.6277
2018-06-27,177.82,181.72,171.58,172.15,1779500,170.702,183.5067,157.8973
2018-06-28,170.48,170.94,165.71,167.7,1645700,171.2015,182.5713,159.8317
2018-06-29,170.75,171.94,167.84,168.24,862300,171.6515,181.6587,161.6443
2018-07-02,165.8,170.79,162.03,170.69,1171200,172.0445,181.1716,162.9174
2018-07-03,171.07,171.23,168.24,168.66,508400,172.2295,180.8901,163.5689
2018-07-05,169.71,176.44,169.6,176.44,1299600,172.7695,181.0381,164.5009
2018-07-06,174.52,177.295,174.03,175.7,1092900,173.253,180.9751,165.5309
2018-07-09,178.35,178.71,172.81,177.44,1388800,173.551,181.4431,165.6589
2018-07-10,177.09,181.5,176.01,180.43,1541700,173.954,182.3962,165.5118
2018-07-11,179.3,183.24,178.5,182.35,1998600,174.56,183.5958,165.5242
2018-07-12,183.65,189.97,183.24,188.35,3505600,175.4365,186.1836,164.6894
2018-07-13,188.6,188.86,183.95,187.21,1313200,175.892,187.8216,163.9624
2018-07-16,186.78,187.62,184.03,184.22,1141600,176.352,188.8366,163.8674
2018-07-17,180.72,187.48,178.61,187.05,1813300,176.987,190.3068,163.6672
2018-07-18,187.8,188.389,184.95,186.15,920500,177.8,191.2799,164.3201
2018-07-19,185.18,186.81,182.05,182.19,877300,178.0895,191.6909,164.4881
2018-07-20,183.83,185.65,182.27,182.79,843700,178.2525,192.0039,164.5011
2018-07-23,184.97,190.0,183.5,188.05,1753900,178.608,193.0044,164.2116
2018-07-24,188.01,190.8,186.07,187.81,2174000,179.48,193.8882,165.0718
2018-07-25,185.55,188.09,184.5,187.99,2024700,180.0805,194.8705,165.2905
2018-07-26,191.86,198.99,187.05,196.28,5029000,181.287,197.2439,165.3301
2018-07-27,195.73,196.56,182.49,186.27,4124900,182.2155,196.9585,167.4725
2018-07-30,187.7,189.34,175.31,176.79,2978500,182.643,196.1213,169.1647
2018-07-31,177.27,183.87,175.4,182.83,2233200,183.25,195.4991,171.0009
2018-08-01,183.53,185.49,179.82,180.12,1140500,183.823,194.1141,173.5319
2018-08-02,179.63,181.2,177.9,179.71,1391600,183.9865,193.8799,174.0931
2018-08-03,179.95,180.12,174.65,175.5,1337600,183.9765,193.9055,174.0475
2018-08-06,175.5,181.13,175.5,179.95,1031700,184.102,193.7424,174.4616
2018-08-07,180.28,184.49,179.0,179.52,894400,184.0565,193.7781,174.3349
2018-08-08,178.75,179.81,177.34,178.7,584400,183.874,193.8639,173.8841
2018-08-09,179.07,190.0,177.584,187.38,2594700,183.8255,193.7329,173.9181
2018-08-10,185.52,189.5,185.39,189.06,1558700,183.918,193.9916,173.8444
2018-08-13,189.0,196.0,188.51,191.55,3156000,184.2845,194.922,173.647
2018-08-14,193.0,194.89,189.44,193.75,1271900,184.6195,196.0184,173.2206
2018-08-15,195.27,195.87,187.12,190.33,1752400,184.8285,196.4957,173.1613
2018-08-16,192.5,194.18,190.612,192.36,546700,185.337,197.3998,173.2742
