Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1993-01-29,24.1926,24.1926,24.0722,24.1754,1003200,24.1754,,
1993-02-01,24.1926,24.3473,24.1926,24.3473,480500,24.2614,24.5045,24.0182
1993-02-02,24.3301,24.4161,24.2786,24.3989,201300,24.3072,24.5413,24.0731
1993-02-03,24.4333,24.674,24.4161,24.6568,529400,24.3946,24.7931,23.9962
1993-02-04,24.7428,24.8116,24.4677,24.76,531500,24.4677,24.943,23.9924
1993-02-05,24.7428,24.7944,24.6052,24.7428,492100,24.5135,24.9943,24.0327
1993-02-08,24.7428,24.8288,24.7084,24.7428,596100,24.5463,25.0182,24.0744
1993-02-09,24.6568,24.6568,24.5193,24.5708,122100,24.5494,24.9866,24.1121
1993-02-10,24.5709,24.6224,24.5021,24.6052,379600,24.5556,24.9662,24.1449
1993-02-11,24.6396,24.8288,24.6396,24.7256,19500,24.5726,24.9744,24.1707
1993-02-12,24.6912,24.6912,24.5365,24.5365,42500,24.5693,24.9511,24.1874
1993-02-16,24.4677,24.4677,23.8831,23.9175,374800,24.515,25.0386,23.9914
1993-02-17,23.9175,23.9519,23.8143,23.9003,210900,24.4677,25.074,23.8614
1993-02-18,24.1754,24.1754,23.5564,23.8831,378100,24.4259,25.087,23.7649
1993-02-19,23.8831,23.969,23.8487,23.969,34900,24.3955,25.0747,23.7162
1993-02-22,24.0378,24.0894,23.969,24.055,513600,24.3742,25.0522,23.6962
1993-02-23,24.1238,24.141,23.9175,24.0378,373700,24.3544,25.0308,23.678
1993-02-24,24.055,24.3473,24.055,24.3473,26300,24.354,25.0102,23.6978
1993-02-25,24.3301,24.4161,24.2786,24.3989,44500,24.3564,24.9944,23.7183
1993-02-26,24.4505,24.4505,24.3129,24.4333,66200,24.3602,24.9822,23.7382
1993-03-01,24.5193,24.5193,24.3301,24.3645,66500,24.3697,24.9856,23.7538
1993-03-02,24.3817,24.7256,24.3473,24.7256,182400,24.3886,25.0245,23.7527
