Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1980-03-17,1.8133,1.8428,1.8133,1.8133,41109,1.8133,,
1980-03-18,1.8207,1.8501,1.8207,1.8207,9343,1.817,1.8274,1.8065
1980-03-19,1.8207,1.8207,1.8207,1.8207,0,1.8182,1.8267,1.8097
1980-03-20,1.8207,1.8501,1.8207,1.8207,10277,1.8188,1.8262,1.8114
1980-03-21,1.8649,1.8944,1.8649,1.8649,8409,1.828,1.8697,1.7863
1980-03-24,1.8723,1.9017,1.8723,1.8723,2803,1.8354,1.8873,1.7835
1980-03-25,1.8723,1.887,1.8575,1.8575,27095,1.8386,1.8888,1.7883
1980-03-26,1.8575,1.887,1.8575,1.8575,1869,1.8409,1.8893,1.7925
1980-03-27,1.8575,1.8649,1.8354,1.8354,14015,1.8403,1.8857,1.7949
1980-03-28,1.8354,1.8575,1.828,1.828,36438,1.8391,1.8826,1.7955
1980-03-31,1.828,1.8575,1.828,1.828,1869,1.8381,1.8799,1.7962
1980-04-01,1.828,1.828,1.7985,1.7985,2803,1.8348,1.8807,1.7888
1980-04-02,1.7985,1.8133,1.7838,1.7838,6540,1.8309,1.8832,1.7786
1980-04-03,1.7838,1.7838,1.7838,1.7838,0,1.8275,1.8837,1.7713
1980-04-07,1.7838,1.8133,1.7838,1.7838,934,1.8246,1.8833,1.7659
1980-04-08,1.7838,1.8133,1.7838,1.7838,44846,1.822,1.8823,1.7618
1980-04-09,1.8428,1.8723,1.8428,1.8428,42044,1.8233,1.8824,1.7641
1980-04-10,1.8649,1.8944,1.8649,1.8649,35503,1.8256,1.8862,1.7649
1980-04-11,1.8649,1.887,1.8575,1.8575,59795,1.8272,1.888,1.7665
1980-04-14,1.8575,1.8575,1.8575,1.8575,0,1.8288,1.8894,1.7681
1980-04-15,1.9165,1.946,1.9165,1.9165,1869,1.8339,1.9056,1.7622
1980-04-16,1.9165,1.946,1.9165,1.9165,61664,1.8387,1.919,1.7585
1980-04-17,1.9165,1.9165,1.9165,1.9165,0,1.8435,1.9304,1.7566
1980-04-18,1.9165,1.9165,1.887,1.887,1869,1.8468,1.9351,1.7586
1980-04-21,1.887,1.9165,1.887,1.887,5606,1.8479,1.9377,1.7582
1980-04-22,1.887,1.887,1.887,1.887,0,1.8487,1.9395,1.7578
1980-04-23,1.9238,1.9533,1.9238,1.9238,24292,1.852,1.9488,1.7551
1980-04-24,1.9386,1.9681,1.9386,1.9386,934,1.856,1.9603,1.7517
1980-04-25,1.9533,1.9828,1.9533,1.9533,9343,1.8619,1.9743,1.7495
1980-04-28,1.9754,2.0049,1.9754,1.9754,2803,1.8693,1.9913,1.7473
1980-04-29,2.0049,2.0344,2.0049,2.0049,74744,1.8781,2.0126,1.7437
1980-04-30,2.0123,2.0418,2.0123,2.0123,3737,1.8888,2.0304,1.7473
1980-05-01,2.0197,2.0492,2.0197,2.0197,934,1.9006,2.0446,1.7566
1980-05-02,2.0197,2.0197,2.0197,2.0197,0,1.9124,2.0548,1.7701
1980-05-05,2.0344,2.0639,2.0344,2.0344,14015,1.925,2.0637,1.7862
1980-05-06,2.0786,2.1081,2.0786,2.0786,5606,1.9397,2.0779,1.8015
1980-05-07,2.0786,2.0786,2.0786,2.0786,0,1.9515,2.0951,1.8079
1980-05-08,2.086,2.1155,2.086,2.086,7474,1.9625,2.112,1.8131
1980-05-09,2.0934,2.1229,2.0934,2.0934,15883,1.9743,2.1261,1.8226
1980-05-12,2.1376,2.1671,2.1376,2.1376,41109,1.9883,2.1462,1.8304
1980-05-13,2.1376,2.1671,2.1376,2.1376,1869,1.9994,2.1668,1.832
1980-05-14,2.1376,2.1671,2.1376,2.1376,7474,2.0105,2.1839,1.837
1980-05-15,2.1376,2.1376,2.1376,2.1376,0,2.0215,2.1979,1.8451
1980-05-16,2.1155,2.1155,2.086,2.086,55124,2.0315,2.1981,1.8649
1980-05-19,2.1081,2.1376,2.1081,2.1081,29898,2.0425,2.1977,1.8873
1980-05-20,2.1524,2.1818,2.1524,2.1524,934,2.0558,2.2,1.9116
