Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2010-06-29,1.2667,1.6667,1.1693,1.5927,281494500,1.5927,,
2010-06-30,1.7193,2.028,1.5533,1.5887,257806500,1.5907,1.5963,1.585
2010-07-01,1.6667,1.728,1.3513,1.464,123282000,1.5484,1.6948,1.4021
2010-07-02,1.5333,1.54,1.2473,1.28,77097000,1.4813,1.7752,1.1875
2010-07-06,1.3333,1.3333,1.0553,1.074,103003500,1.3999,1.8443,0.9555
2010-07-07,1.0933,1.1087,0.9987,1.0533,103825500,1.3421,1.83,0.8542
2010-07-08,1.076,1.168,1.038,1.164,115671000,1.3167,1.782,0.8514
2010-07-09,1.172,1.1933,1.1033,1.16,60759000,1.2971,1.7419,0.8523
2010-07-12,1.1967,1.2047,1.1333,1.1367,33037500,1.2793,1.7089,0.8497
2010-07-13,1.1593,1.2427,1.1267,1.2093,40201500,1.2723,1.6797,0.8648
2010-07-14,1.196,1.3433,1.184,1.3227,62928000,1.2768,1.6646,0.8891
2010-07-15,1.3293,1.4333,1.2667,1.326,56097000,1.2809,1.6517,0.9102
2010-07-16,1.38,1.42,1.3367,1.376,39319500,1.2883,1.6471,0.9294
2010-07-19,1.4247,1.4833,1.3947,1.4607,37297500,1.3006,1.6575,0.9437
2010-07-20,1.4567,1.4567,1.3367,1.3533,27379500,1.3041,1.6491,0.9591
2010-07-21,1.3773,1.3933,1.3,1.348,18787500,1.3068,1.6408,0.9728
2010-07-22,1.3667,1.4167,1.358,1.4,14367000,1.3123,1.6389,0.9858
2010-07-23,1.4127,1.4373,1.404,1.4193,9804000,1.3183,1.6391,0.9975
2010-07-26,1.4333,1.4333,1.3533,1.3967,13833000,1.3224,1.6362,1.0086
2010-07-27,1.394,1.412,1.3507,1.37,9295500,1.3248,1.631,1.0186
2010-07-28,1.37,1.3933,1.3673,1.3813,7008000,1.3142,1.595,1.0334
2010-07-29,1.3847,1.392,1.3333,1.3567,9240000,1.3026,1.5532,1.052
2010-07-30,1.3467,1.3627,1.3033,1.3293,6403500,1.2959,1.5352,1.0565
2010-08-02,1.3667,1.398,1.3553,1.3947,10771500,1.3016,1.5448,1.0584
2010-08-03,1.4,1.4633,1.388,1.4633,18457500,1.3211,1.5494,1.0927
2010-08-04,1.4633,1.4787,1.39,1.4173,13695000,1.3393,1.5332,1.1453
2010-08-05,1.436,1.4367,1.3367,1.3633,11943000,1.3492,1.5249,1.1736
2010-08-06,1.34,1.344,1.3013,1.306,11128500,1.3565,1.5098,1.2033
2010-08-09,1.3267,1.332,1.2967,1.3067,12190500,1.365,1.4813,1.2487
2010-08-10,1.31,1.31,1.2547,1.2687,19219500,1.368,1.4697,1.2663
2010-08-11,1.246,1.2587,1.19,1.1933,11964000,1.3615,1.4886,1.2344
2010-08-12,1.1867,1.1933,1.1593,1.1733,10365000,1.3539,1.5059,1.2019
2010-08-13,1.212,1.23,1.1773,1.2213,9510000,1.3462,1.5088,1.1836
2010-08-16,1.23,1.2533,1.2173,1.252,7287000,1.3357,1.4941,1.1773
2010-08-17,1.264,1.2933,1.252,1.2767,6718500,1.3319,1.4922,1.1716
2010-08-18,1.306,1.306,1.24,1.2513,9019500,1.3271,1.4911,1.163
2010-08-19,1.236,1.2833,1.222,1.2527,8686500,1.3197,1.4832,1.1562
2010-08-20,1.2433,1.274,1.234,1.2733,4440000,1.3124,1.4701,1.1547
2010-08-23,1.2727,1.3593,1.2667,1.342,16321500,1.3097,1.463,1.1563
2010-08-24,1.2833,1.314,1.2633,1.28,10096500,1.3052,1.4564,1.154
2010-08-25,1.2773,1.332,1.2373,1.3267,7549500,1.3024,1.4498,1.1551
2010-08-26,1.326,1.3513,1.3067,1.3167,6507000,1.3004,1.4457,1.1551
2010-08-27,1.3167,1.3247,1.3,1.3133,5694000,1.2996,1.4444,1.1548
2010-08-30,1.3133,1.346,1.3073,1.3247,10992000,1.2961,1.4345,1.1578
2010-08-31,1.3107,1.3193,1.2887,1.2987,3016500,1.2879,1.4018,1.174
2010-09-01,1.308,1.3793,1.3067,1.3633,7423500,1.2852,1.3882,1.1822
2010-09-02,1.358,1.416,1.354,1.404,7306500,1.2872,1.3981,1.1764
2010-09-03,1.3913,1.42,1.3773,1.4033,6519000,1.2921,1.4144,1.1698
2010-09-07,1.374,1.4,1.3667,1.3693,3651000,1.2952,1.4222,1.1683
2010-09-08,1.3773,1.3967,1.3733,1.3933,4326000,1.3015,1.435,1.1679
2010-09-09,1.4,1.4033,1.3793,1.3807,5643000,1.3108,1.4386,1.1831
2010-09-10,1.3833,1.3953,1.3173,1.3447,5799000,1.3194,1.4302,1.2086
2010-09-13,1.3927,1.3933,1.3667,1.3813,5412000,1.3274,1.4313,1.2235
2010-09-14,1.3693,1.44,1.3687,1.408,9820500,1.3352,1.4386,1.2318
2010-09-15,1.3987,1.4667,1.386,1.4653,10269000,1.3446,1.4594,1.2299
2010-09-16,1.4767,1.544,1.3893,1.396,40267500,1.3519,1.4599,1.2438
2010-09-17,1.4013,1.4213,1.32,1.3487,17977500,1.3567,1.4542,1.2592
2010-09-20,1.378,1.4233,1.344,1.404,14212500,1.3632,1.4545,1.2719
2010-09-21,1.3927,1.4367,1.378,1.3847,11940000,1.3653,1.4565,1.2741
2010-09-22,1.3913,1.3967,1.32,1.3247,14443500,1.3676,1.4519,1.2832
2010-09-23,1.326,1.3427,1.3,1.304,10021500,1.3664,1.4536,1.2792
2010-09-24,1.33,1.346,1.31,1.34,8683500,1.3676,1.4526,1.2826
2010-09-27,1.36,1.3873,1.3367,1.3687,6279000,1.3704,1.4514,1.2893
2010-09-28,1.4027,1.4327,1.384,1.4267,18217500,1.3755,1.4573,1.2937
2010-09-29,1.4127,1.4687,1.4087,1.4653,29539500,1.3838,1.4666,1.301
2010-09-30,1.4667,1.4767,1.346,1.3607,32937000,1.3837,1.4666,1.3007
2010-10-01,1.3793,1.3833,1.354,1.3733,8965500,1.3821,1.4646,1.2996
2010-10-04,1.362,1.4113,1.3533,1.3993,9654000,1.3819,1.4643,1.2996
2010-10-05,1.41,1.4187,1.4007,1.408,4980000,1.3839,1.4668,1.301
2010-10-06,1.404,1.4173,1.3547,1.364,4701000,1.3824,1.4656,1.2992
2010-10-07,1.3713,1.376,1.356,1.362,2115000,1.3815,1.4652,1.2978
2010-10-08,1.362,1.386,1.3593,1.362,4017000,1.3823,1.4648,1.2999
2010-10-11,1.3627,1.38,1.338,1.3493,2568000,1.3807,1.4645,1.297
2010-10-12,1.3467,1.352,1.3353,1.3493,3660000,1.3778,1.4617,1.2939
2010-10-13,1.376,1.39,1.3573,1.3693,4773000,1.373,1.4461,1.2999
2010-10-14,1.4,1.402,1.36,1.3833,4422000,1.3724,1.4448,1.2999
2010-10-15,1.3927,1.3933,1.35,1.3693,4270500,1.3734,1.445,1.3018
