Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1997-10-09,2.7948,3.2486,2.7948,3.1302,10201979,3.1302,,
1997-10-10,3.4722,3.4853,3.1499,3.2749,10669148,3.2026,3.4072,2.998
1997-10-13,3.2815,3.2815,3.1894,3.2026,3044363,3.2026,3.3472,3.0579
1997-10-14,3.1762,3.1828,2.9855,3.071,2549907,3.1697,3.3465,2.9929
1997-10-15,2.8803,2.9921,2.8738,2.9855,3167153,3.1328,3.3577,2.908
1997-10-16,2.9855,2.9855,2.8803,2.8935,1770821,3.093,3.3734,2.8125
1997-10-17,2.762,2.7685,2.637,2.6436,3287121,3.0288,3.4541,2.6034
1997-10-20,2.2096,2.3674,2.203,2.3148,11499985,2.9395,3.5798,2.2992
1997-10-21,2.42,2.6436,2.4068,2.6436,6924737,2.9066,3.5372,2.276
1997-10-22,2.4332,2.4397,2.3279,2.3345,4458573,2.8494,3.5454,2.1534
1997-10-23,2.2622,2.2622,2.1043,2.1964,12494072,2.7901,3.5588,2.0213
1997-10-24,2.249,2.2622,2.0254,2.078,9498638,2.7307,3.5711,1.8903
1997-10-27,2.0254,2.0254,1.7953,1.8018,4905042,2.6593,3.6147,1.7038
1997-10-28,1.6572,2.2096,1.644,2.2096,10417921,2.6271,3.5761,1.6782
1997-10-29,2.0254,2.0846,1.9991,2.0057,7548100,2.5857,3.5548,1.6166
1997-10-30,1.8939,1.9728,1.8873,1.9531,2797370,2.5462,3.5344,1.558
1997-10-31,2.0254,2.1241,2.0189,2.078,3611270,2.5186,3.502,1.5352
1997-11-03,2.2622,2.42,2.2622,2.3871,6205871,2.5113,3.4674,1.5553
1997-11-04,2.3674,2.4134,2.3214,2.3871,3145042,2.5048,3.4357,1.5739
1997-11-05,2.4332,2.5976,2.4332,2.5778,3979642,2.5084,3.4151,1.6018
1997-11-06,2.6699,2.683,2.5384,2.5647,3649848,2.4802,3.3392,1.6212
1997-11-07,2.3805,2.5186,2.3674,2.5055,4470805,2.4417,3.2155,1.6679
1997-11-10,2.6041,2.6173,2.5121,2.5186,2435114,2.4075,3.0955,1.7196
1997-11-11,2.4726,2.5121,2.4595,2.466,2194707,2.3773,2.9916,1.7629
1997-11-12,2.3871,2.3871,2.3214,2.3279,3905309,2.3444,2.888,1.8008
1997-11-13,2.3542,2.4397,2.2753,2.3082,2482160,2.3151,2.7933,1.8369
1997-11-14,2.3542,2.3871,2.2753,2.3082,2205999,2.2983,2.7509,1.8458
1997-11-17,2.466,2.4726,2.42,2.4726,3290415,2.3062,2.7655,1.847
