Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2019-05-10,42.0,45.0,41.06,41.57,186322500,41.57,,
2019-05-13,38.79,39.24,36.08,37.1,79442400,39.335,45.6565,33.0135
2019-05-14,38.31,39.96,36.85,39.96,46661100,39.5433,44.0712,35.0154
2019-05-15,39.37,41.88,38.95,41.29,36086100,39.98,44.0688,35.8912
2019-05-16,41.48,44.06,41.25,43.0,38115500,40.584,45.0377,36.1303
2019-05-17,41.98,43.29,41.27,41.91,20225700,40.805,44.933,36.677
2019-05-20,41.19,41.68,39.46,41.59,29222300,40.9171,44.7319,37.1024
2019-05-21,42.0,42.24,41.25,41.5,10802900,40.99,44.5458,37.4342
2019-05-22,41.05,41.28,40.5,41.25,9089500,41.0189,44.3495,37.6883
2019-05-23,40.8,41.09,40.02,40.47,11119900,40.964,44.1233,37.8047
2019-05-24,41.28,41.51,40.5,41.51,8786800,41.0136,44.0288,37.9985
2019-05-28,41.7,41.8,40.6,40.95,13391600,41.0083,43.8834,38.1332
2019-05-29,40.52,40.71,39.147,39.94,14060400,40.9262,43.7419,38.1104
2019-05-30,40.07,40.38,39.5,39.8,26451900,40.8457,43.6172,38.0743
2019-05-31,41.15,41.57,39.41,40.41,23209800,40.8167,43.4968,38.1366
2019-06-03,40.744,41.85,40.24,41.25,16605300,40.8437,43.442,38.2455
2019-06-04,42.56,42.88,40.7,42.75,23432100,40.9559,43.6362,38.2756
2019-06-05,42.87,45.66,42.5,45.0,28609600,41.1806,44.4048,37.9563
2019-06-06,45.0,45.75,44.28,44.92,16403700,41.3774,44.9498,37.8049
2019-06-07,44.92,45.67,44.13,44.16,12654700,41.5165,45.2096,37.8234
2019-06-10,44.02,44.59,42.53,42.61,11618700,41.5685,45.2939,37.8431
2019-06-11,43.22,43.65,41.8,42.45,9095000,41.836,44.9243,38.7477
2019-06-12,42.52,42.65,41.71,42.17,5965300,41.9465,44.9077,38.9853
2019-06-13,43.05,44.35,42.8,44.31,10178900,42.0975,45.2213,38.9737
2019-06-14,44.75,44.8,43.11,43.23,7902200,42.109,45.2484,38.9696
2019-06-17,43.28,44.079,42.93,43.78,6557600,42.2025,45.4272,38.9778
2019-06-18,44.3,44.89,43.75,43.86,7313600,42.316,45.609,39.023
2019-06-19,44.46,45.5,43.95,44.86,10331500,42.484,45.9405,39.0275
2019-06-20,45.03,45.29,43.51,43.86,9567400,42.6145,46.0719,39.1571
2019-06-21,43.85,44.14,43.38,44.0,4974000,42.791,46.1464,39.4356
2019-06-24,44.0,44.07,42.82,43.09,5985100,42.87,46.1723,39.5677
2019-06-25,43.28,43.79,42.443,43.09,5753300,42.977,46.1537,39.8003
2019-06-26,43.25,43.4,42.36,42.5,8109100,43.105,45.9561,40.2539
2019-06-27,43.35,45.3,43.2,45.13,20155100,43.3715,45.9,40.843
2019-06-28,45.1,47.08,45.08,46.38,28657000,43.67,46.1352,41.2048
