Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1984-10-17,0.1108,0.1138,0.1108,0.1108,9868800,0.1108,,
1984-10-18,0.1138,0.1198,0.1138,0.1138,5324800,0.1123,0.1165,0.1081
1984-10-19,0.1138,0.1138,0.1108,0.1108,3043200,0.1118,0.1152,0.1083
1984-10-22,0.1108,0.1138,0.1108,0.1108,2326400,0.1115,0.1145,0.1085
1984-10-23,0.1108,0.1108,0.1078,0.1078,787200,0.1108,0.115,0.1066
1984-10-24,0.1108,0.1138,0.1108,0.1108,230400,0.1108,0.1146,0.107
1984-10-25,0.1108,0.1138,0.1078,0.1078,1587200,0.1104,0.1145,0.1062
1984-10-26,0.1078,0.1108,0.1078,0.1078,758400,0.11,0.1143,0.1058
1984-10-29,0.1078,0.1108,0.1078,0.1078,614400,0.1098,0.114,0.1056
1984-10-30,0.1078,0.1138,0.1078,0.1078,192000,0.1096,0.1138,0.1054
1984-10-31,0.1108,0.1138,0.1108,0.1108,297600,0.1097,0.1137,0.1057
1984-11-01,0.1108,0.1108,0.1078,0.1078,352000,0.1095,0.1135,0.1055
1984-11-02,0.1078,0.1108,0.1078,0.1078,1638400,0.1094,0.1134,0.1055
1984-11-05,0.1078,0.1078,0.1048,0.1048,534400,0.1091,0.1136,0.1046
1984-11-06,0.1048,0.1078,0.1048,0.1048,544000,0.1088,0.1137,0.1039
1984-11-07,0.1048,0.1078,0.1048,0.1048,76800,0.1085,0.1137,0.1034
1984-11-08,0.1048,0.1078,0.1048,0.1048,44800,0.1083,0.1136,0.103
1984-11-09,0.1048,0.1078,0.1048,0.1048,896000,0.1081,0.1135,0.1027
1984-11-12,0.1048,0.1078,0.1048,0.1048,300800,0.108,0.1134,0.1025
1984-11-13,0.1048,0.1078,0.1048,0.1048,464000,0.1078,0.1133,0.1023
1984-11-14,0.1048,0.1078,0.1018,0.1018,1523200,0.1074,0.1133,0.1014
1984-11-15,0.1018,0.1048,0.1018,0.1018,156800,0.1068,0.1123,0.1012
1984-11-16,0.1018,0.1048,0.0958,0.0958,579200,0.106,0.1131,0.0989
1984-11-19,0.0958,0.1048,0.0958,0.0958,358400,0.1053,0.1133,0.0972
1984-11-20,0.0958,0.0988,0.0928,0.0928,179200,0.1045,0.1142,0.0948
1984-11-21,0.0928,0.0988,0.0928,0.0928,905600,0.1036,0.1141,0.0931
1984-11-23,0.0928,0.0988,0.0928,0.0928,25600,0.1029,0.1142,0.0915
1984-11-26,0.0958,0.0988,0.0958,0.0958,166400,0.1023,0.1138,0.0907
1984-11-27,0.0988,0.1018,0.0988,0.0988,147200,0.1018,0.1131,0.0905
1984-11-28,0.0988,0.1018,0.0988,0.0988,492800,0.1014,0.1124,0.0903
1984-11-29,0.0988,0.1018,0.0988,0.0988,262400,0.1008,0.1109,0.0906
1984-11-30,0.0988,0.1018,0.0988,0.0988,556800,0.1003,0.1099,0.0907
1984-12-03,0.0988,0.1018,0.0958,0.0958,380800,0.0997,0.1088,0.0906
1984-12-04,0.0958,0.0988,0.0928,0.0928,217600,0.0991,0.1084,0.0898
1984-12-05,0.0928,0.0988,0.0928,0.0928,102400,0.0985,0.1078,0.0892
