Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1999-11-10,30.7769,33.2924,30.5402,32.3158,80793700,32.3158,,
1999-11-11,32.5525,36.4292,32.5525,35.5119,28309000,33.9138,38.4338,29.3939
1999-11-12,35.9853,36.2813,32.7893,33.3811,14768100,33.7363,36.991,30.4815
1999-11-15,33.3811,33.5587,31.8719,32.6709,8675100,33.4699,36.333,30.6068
1999-11-16,32.1382,32.1974,30.7769,31.2504,6978600,33.026,36.2023,29.8497
1999-11-17,31.0433,32.2862,30.8361,32.0494,5806900,32.8633,35.814,29.9125
1999-11-18,32.1678,32.6413,31.3096,31.3984,4718700,32.654,35.5664,29.7416
1999-11-19,31.3984,31.3984,30.4218,30.7769,5091100,32.4194,35.4247,29.4141
1999-11-22,30.333,30.4218,28.883,29.8891,4785400,32.1382,35.4167,28.8598
1999-11-23,30.0075,31.7239,29.9483,31.3392,2832200,32.0583,35.1903,28.9263
1999-11-24,31.3927,32.4332,31.363,32.1954,2179400,32.0708,35.0432,29.0984
1999-11-26,32.5521,33.0277,32.4332,32.8791,1322500,32.1381,35.0104,29.2659
1999-11-29,33.2953,33.4142,31.8684,32.4035,1987000,32.1585,34.9125,29.4046
1999-11-30,32.0467,32.1656,31.4225,31.4225,1686100,32.106,34.7809,29.431
1999-12-01,31.5116,32.0467,31.2143,31.3333,1405700,32.0545,34.6628,29.4461
1999-12-02,31.3927,31.8981,31.3332,31.8981,1391000,32.0447,34.5658,29.5236
1999-12-03,32.0765,32.1954,31.5413,31.6008,1753500,32.0186,34.4691,29.568
1999-12-06,31.6306,31.6306,31.0954,31.5116,1398900,31.9904,34.3798,29.601
1999-12-07,31.363,32.344,31.3333,32.344,1793100,32.009,34.3367,29.6813
1999-12-08,32.344,32.5224,31.7495,32.5224,1774000,32.0347,34.3119,29.7575
1999-12-09,32.5224,32.7007,31.69,32.1062,1713600,32.0242,34.2979,29.7505
1999-12-10,31.5711,31.8684,31.0954,31.4522,1248600,31.8212,33.4037,30.2387
1999-12-13,31.5711,31.8386,30.8576,31.3927,1417800,31.7218,33.1322,30.3114
1999-12-14,31.3927,31.3927,30.7982,30.9171,1886600,31.6341,33.0138,30.2545
1999-12-15,30.9171,30.9468,30.2928,30.3225,1602800,31.5877,33.0795,30.0959
1999-12-16,30.3225,30.4711,30.0847,30.4414,1364600,31.5073,33.0662,29.9484
1999-12-17,30.7981,32.1656,30.7684,31.69,1980800,31.5219,33.0819,29.9619
1999-12-20,32.1954,32.5818,31.8386,32.5818,1501300,31.6121,33.1993,30.025
1999-12-21,32.4629,32.8197,32.1062,32.8197,1265200,31.7587,33.2115,30.3058
1999-12-22,32.7899,32.7899,31.4224,31.8684,1264700,31.7851,33.225,30.3453
1999-12-23,31.6305,32.2845,31.2143,32.2251,1180600,31.7866,33.2283,30.3449
1999-12-27,32.5818,33.1467,32.1062,33.1467,1478800,31.8,33.2886,30.3114
