Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2008-03-19,13.1025,15.1945,12.1116,12.4419,708486000,12.4419,,
2008-03-20,12.8603,14.3137,12.6621,14.1706,198985200,13.3062,15.7509,10.8616
2008-03-24,14.807,14.9083,12.9924,13.1532,149566400,13.2552,14.9929,11.5176
2008-03-25,13.3404,14.1485,13.173,13.9283,87092000,13.4235,14.9939,11.8531
2008-03-26,13.8138,14.1992,13.5584,14.0847,43111600,13.5557,15.0387,12.0727
2008-03-27,14.1045,14.2565,13.7962,13.8535,39829600,13.6054,14.9539,12.2568
2008-03-28,13.9548,13.9702,13.6883,13.8204,24675200,13.6361,14.8778,12.3944
2008-03-31,13.7852,13.979,13.6641,13.7323,22157200,13.6481,14.7997,12.4965
2008-04-01,13.8865,14.023,13.2809,13.5672,60410800,13.6391,14.7177,12.5605
2008-04-02,13.5914,13.7235,13.3228,13.7235,43836400,13.6476,14.6659,12.6293
2008-04-03,13.6421,14.5978,13.6134,14.4238,100868000,13.7181,14.7916,12.6447
2008-04-04,14.2917,14.3842,14.0384,14.1992,36394400,13.7582,14.8188,12.6977
2008-04-07,14.3357,14.4899,14.0979,14.3225,28301600,13.8016,14.8642,12.7391
2008-04-08,14.2917,15.0272,14.2719,14.9942,53925600,13.8868,15.0903,12.6833
2008-04-09,15.0712,15.1329,14.448,14.4877,48324400,13.9269,15.1274,12.7263
2008-04-10,14.5691,14.6947,14.3379,14.5581,22372000,13.9663,15.1683,12.7643
2008-04-11,14.3688,14.7035,14.3688,14.5581,26421600,14.0011,15.1999,12.8024
2008-04-14,14.6881,14.807,14.4304,14.4634,28443600,14.0268,15.21,12.8436
2008-04-15,14.5978,14.655,14.0935,14.1706,23888000,14.0344,15.1861,12.8827
2008-04-16,14.2168,14.7431,14.2168,14.5647,25136800,14.0609,15.2067,12.9151
2008-04-17,14.5912,14.9193,14.5361,14.7629,22459600,14.177,15.0759,13.278
2008-04-18,14.9765,15.5139,14.7982,15.1945,104099600,14.2282,15.2357,13.2206
2008-04-21,15.3002,15.9653,15.1615,15.6284,58848000,14.3519,15.4103,13.2936
2008-04-22,15.8376,15.9433,15.4148,15.4764,47357600,14.4293,15.5797,13.279
2008-04-23,15.624,15.7891,15.3465,15.4324,37319600,14.4967,15.7178,13.2756
2008-04-24,15.679,16.0732,15.4236,15.9212,38086800,14.6001,15.9366,13.2636
2008-04-25,16.736,16.7536,16.2758,16.5378,101460000,14.736,16.2757,13.1962
2008-04-28,16.8461,17.0201,16.4938,16.6546,132517200,14.8821,16.5685,13.1957
2008-04-29,16.3286,17.8106,15.635,17.8106,197308400,15.0942,17.1181,13.0704
2008-04-30,17.9252,18.6761,17.8525,18.3766,147543600,15.3269,17.7229,12.9309
2008-05-01,18.5836,19.2993,18.4757,18.806,116395600,15.546,18.3594,12.7326
2008-05-02,19.2222,19.2685,17.8371,18.2225,136648800,15.7472,18.7256,12.7688
2008-05-05,18.2445,18.828,17.7974,18.7311,70377200,15.9676,19.1478,12.7874
2008-05-06,18.8214,19.4116,18.6629,19.2751,75913200,16.1816,19.6492,12.714
2008-05-07,19.5613,19.7837,19.3037,19.4887,100464800,16.4317,20.1004,12.763
2008-05-08,19.7089,19.7639,18.9249,19.2244,92836400,16.665,20.4244,12.9056
2008-05-09,18.8963,19.0857,18.1718,18.2467,94312000,16.8494,20.5348,13.1641
2008-05-12,18.4206,18.6034,17.1985,18.0353,147471600,17.028,20.5699,13.4861
2008-05-13,18.0199,18.3876,17.7908,18.141,53249600,17.2265,20.5312,13.9218
2008-05-14,18.3436,18.5748,17.9362,18.1079,51400400,17.4037,20.4796,14.3279
2008-05-15,18.174,18.2621,17.8613,18.1123,36688800,17.5712,20.3961,14.7462
2008-05-16,18.2136,18.2445,17.8943,18.1388,34066800,17.7184,20.3199,15.1169
2008-05-19,18.1167,18.6607,18.0903,18.348,45473200,17.8544,20.2738,15.4349
2008-05-20,18.2511,18.4625,18.0375,18.2202,40702000,17.9916,20.1392,15.8439
2008-05-21,18.207,18.3722,17.7314,17.804,41831600,18.1101,19.8938,16.3264
2008-05-22,17.7424,17.749,16.7713,17.0245,85283600,18.1653,19.7172,16.6135
2008-05-23,16.7008,17.0245,16.5422,16.8131,42196400,18.1791,19.674,16.6842
2008-05-27,16.9386,17.3834,16.3749,17.3394,62776400,18.2133,19.5877,16.8389
2008-05-28,17.6807,18.0463,17.5178,18.0397,52996000,18.2248,19.5888,16.8607
2008-05-29,18.3722,19.1473,18.2797,18.773,100613200,18.2446,19.6293,16.8599
2008-05-30,18.9425,19.2817,18.8963,19.0174,72016000,18.2551,19.661,16.8493
2008-06-02,18.9844,19.1473,18.6298,18.9535,36856000,18.2917,19.7315,16.8519
2008-06-03,19.1606,19.3675,18.9447,19.2817,48411600,18.3192,19.8144,16.824
2008-06-04,19.176,19.4006,18.7796,18.8236,40684400,18.2967,19.744,16.8494
2008-06-05,19.0394,19.2112,18.8478,19.2112,27059600,18.2828,19.6866,16.8789
2008-06-06,18.9161,18.9359,18.3986,18.4206,41748000,18.2426,19.5773,16.9079
2008-06-09,18.4977,18.7069,17.7402,18.0881,45240000,18.2347,19.5711,16.8982
2008-06-10,17.6829,18.2489,17.531,17.6851,36048400,18.2172,19.5736,16.8607
