Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2010-09-09,77.4267,77.4267,76.3994,76.5354,26500,76.5354,,
2010-09-10,76.8073,76.9433,76.5203,76.8828,8600,76.7091,77.2005,76.2177
2010-09-13,77.7742,77.9102,77.4267,77.8497,33750,77.0893,78.4515,75.7272
2010-09-14,77.6835,78.167,77.3361,77.8346,59400,77.2756,78.6145,75.9368
2010-09-15,77.5174,78.0914,77.3512,78.031,9250,77.4267,78.7687,76.0848
2010-09-16,77.8195,78.0461,77.5778,78.0008,59550,77.5224,78.8109,76.2338
2010-09-17,78.4691,78.4691,77.8195,78.0763,49350,77.6015,78.8501,76.3529
2010-09-20,78.3634,79.3454,78.1519,79.3454,19000,77.8195,79.5097,76.1293
2010-09-21,79.3303,79.6475,78.7713,79.1036,19250,77.9622,79.7601,76.1643
2010-09-22,78.9828,79.3454,78.5296,78.6807,18100,78.034,79.789,76.2791
2010-09-23,78.0461,78.8166,77.8951,78.031,33350,78.0338,79.6987,76.3689
2010-09-24,78.9409,79.67,78.8802,79.6244,24100,78.1663,80.0003,76.3324
2010-09-27,79.7307,79.7307,79.2447,79.2447,15000,78.2493,80.1042,76.3943
2010-09-28,79.2295,79.7611,78.5459,79.7611,49850,78.3573,80.3141,76.4004
2010-09-29,79.427,79.6852,79.1536,79.3814,15900,78.4255,80.3839,76.4671
2010-09-30,79.8978,80.2624,78.9561,79.2599,44750,78.4777,80.4151,76.5402
2010-10-01,79.8067,79.8674,79.108,79.5333,17100,78.5398,80.4843,76.5952
2010-10-04,79.9434,79.9434,78.6067,78.8649,88700,78.5578,80.4505,76.6651
2010-10-05,79.7611,80.6573,79.6092,80.5965,19850,78.6651,80.7287,76.6016
2010-10-06,80.5966,80.7181,80.2168,80.4599,276900,78.7549,80.9178,76.5919
2010-10-07,80.8852,80.8852,79.989,80.4143,49900,78.9488,80.9644,76.9332
2010-10-08,80.5206,81.0674,80.2472,81.0219,61550,79.1558,81.1277,77.1838
2010-10-11,81.0523,81.1434,80.7181,80.8852,14200,79.3075,81.323,77.2921
2010-10-12,80.794,81.4472,80.308,81.3561,42050,79.4836,81.5713,77.396
2010-10-13,81.7054,82.2371,81.4472,81.8421,74450,79.6742,81.895,77.4533
2010-10-14,81.7965,81.8877,81.113,81.5383,19100,79.851,82.0742,77.6279
