Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2005-07-08,7.1872,7.3031,6.8394,7.0945,4482522,7.0945,,
2005-07-11,7.0945,7.164,7.0017,7.1176,1523432,7.106,7.1388,7.0733
2005-07-12,7.2799,7.5581,7.2336,7.4886,1355648,7.2336,7.6759,6.7912
2005-07-13,7.535,7.535,7.3727,7.3727,1359745,7.2683,7.6554,6.8813
2005-07-14,7.419,7.419,7.3263,7.3727,2547392,7.2892,7.6371,6.9413
2005-07-15,7.3263,7.3495,7.1872,7.2799,1211801,7.2877,7.5989,6.9764
2005-07-18,7.2104,7.2104,6.8858,6.909,3555394,7.2336,7.6369,6.8302
2005-07-19,6.9322,6.9553,6.909,6.9275,4501500,7.1953,7.6269,6.7637
2005-07-20,6.9322,6.9322,6.8858,6.8858,3962778,7.1609,7.6143,6.7075
2005-07-21,6.7235,7.0017,6.5844,6.9971,39401769,7.1445,7.5844,6.7047
2005-07-22,6.9785,7.0713,6.909,6.9507,33314726,7.1269,7.5602,6.6936
2005-07-25,6.9507,6.9553,6.4824,6.5148,23993625,7.0759,7.6196,6.5322
2005-07-26,6.5148,6.538,6.3711,6.4917,22064533,7.031,7.6441,6.4178
2005-07-27,6.4685,6.64,6.4314,6.4917,24792435,6.9924,7.6483,6.3366
2005-07-28,6.4917,6.6679,6.4777,6.6076,20872142,6.9668,7.6293,6.3043
2005-07-29,6.6076,6.64,6.487,6.6169,5110960,6.9449,7.6085,6.2814
2005-08-01,6.5658,6.6771,6.487,6.5102,5705538,6.9193,7.5955,6.2432
2005-08-02,6.4546,6.5056,6.2645,6.4824,14784452,6.8951,7.5826,6.2075
2005-08-03,6.3989,6.5983,6.3479,6.5983,5744573,6.8794,7.5614,6.1975
2005-08-04,6.4499,6.6076,6.4407,6.5658,8298866,6.8638,7.5422,6.1854
2005-08-05,6.5195,6.5658,6.4453,6.538,6742869,6.8359,7.5201,6.1518
2005-08-08,6.4453,6.5844,6.4221,6.5148,4256293,6.8058,7.4909,6.1208
2005-08-09,6.5195,6.5288,6.4267,6.4777,6665447,6.7553,7.3742,6.1364
2005-08-10,6.4685,6.5751,6.4592,6.5427,20651089,6.7138,7.2661,6.1614
2005-08-11,6.6215,6.9646,6.6215,6.7652,22257335,6.6834,7.142,6.2248
2005-08-12,6.7977,6.8533,6.7235,6.8116,11811128,6.66,7.0295,6.2904
2005-08-15,6.7977,7.0945,6.7699,7.0203,10520826,6.6655,7.0538,6.2773
2005-08-16,7.0945,7.3078,6.9646,7.0481,11457875,6.6716,7.0801,6.263
2005-08-17,7.0713,7.113,6.9832,7.0017,5983957,6.6774,7.1017,6.253
2005-08-18,6.9693,7.011,6.9368,6.9646,2345965,6.6757,7.0951,6.2563
2005-08-19,6.9553,7.113,6.9553,7.0527,3674439,6.6808,7.1165,6.2452
2005-08-22,7.0342,7.2567,7.0342,7.1872,2717334,6.7145,7.1974,6.2315
2005-08-23,7.2567,7.3727,7.1315,7.2707,3835538,6.7534,7.284,6.2228
2005-08-24,7.1965,7.4422,7.1965,7.3402,3495656,6.7958,7.372,6.2197
2005-08-25,7.3727,7.3727,7.113,7.3031,2038647,6.8306,7.4418,6.2194
2005-08-26,7.317,7.368,7.0249,7.2243,3020122,6.861,7.4877,6.2343
2005-08-29,7.1872,7.2428,7.0666,7.1315,1815438,6.8921,7.507,6.2771
2005-08-30,7.0017,7.1872,6.9553,7.1037,5502385,6.9231,7.5132,6.333
2005-08-31,7.1362,7.1362,6.9785,7.0203,4307621,6.9442,7.5153,6.3732
2005-09-01,6.9785,7.0342,6.9507,7.0295,4045592,6.9674,7.5108,6.424
2005-09-02,6.9646,7.0249,6.9183,7.0249,2859239,6.9917,7.4964,6.4871
2005-09-06,6.9785,7.0713,6.9785,7.0527,3510105,7.0186,7.4708,6.5664
2005-09-07,7.0295,7.062,7.0017,7.0574,2904743,7.0476,7.4213,6.6739
2005-09-08,7.0945,7.164,6.9924,7.0017,5172854,7.0706,7.3608,6.7804
2005-09-09,7.0017,7.0064,6.9414,6.9553,5054672,7.0801,7.3389,6.8212
2005-09-12,6.9322,7.0017,6.9183,6.9414,1743407,7.0866,7.3226,6.8506
2005-09-13,7.011,7.0481,6.807,6.8812,3902393,7.0796,7.3315,6.8277
2005-09-14,6.8116,6.9553,6.807,6.9183,2132460,7.0731,7.3349,6.8113
2005-09-15,6.8858,7.0156,6.8858,6.9553,2337123,7.0708,7.3361,6.8055
2005-09-16,6.9414,6.9878,6.9229,6.9553,2034981,7.0703,7.3364,6.8043
2005-09-19,6.9971,7.0713,6.9507,6.9785,1618970,7.0666,7.3358,6.7975
