Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1972-08-25,0.0113,0.0115,0.0113,0.0115,7526400,0.0115,,
1972-08-28,0.0115,0.0116,0.0115,0.0115,2918400,0.0115,0.0115,0.0114
1972-08-29,0.0114,0.0114,0.0113,0.0113,5836800,0.0114,0.0116,0.0113
1972-08-30,0.0113,0.0113,0.0112,0.0113,1228800,0.0114,0.0116,0.0112
1972-08-31,0.0112,0.0112,0.0112,0.0112,2611200,0.0114,0.0116,0.0111
1972-09-01,0.0112,0.0112,0.0112,0.0112,768000,0.0113,0.0116,0.0111
1972-09-05,0.0112,0.0112,0.0112,0.0112,1689600,0.0113,0.0116,0.011
1972-09-06,0.0112,0.0112,0.0112,0.0112,768000,0.0113,0.0116,0.011
1972-09-07,0.0112,0.0112,0.0112,0.0112,3532800,0.0113,0.0115,0.011
1972-09-08,0.0112,0.0112,0.0111,0.0111,1996800,0.0113,0.0115,0.011
1972-09-11,0.0112,0.0112,0.0112,0.0112,2764800,0.0113,0.0115,0.011
1972-09-12,0.0112,0.0112,0.0112,0.0112,1843200,0.0113,0.0115,0.011
1972-09-13,0.0112,0.0112,0.0112,0.0112,460800,0.0113,0.0115,0.011
1972-09-14,0.0112,0.0113,0.0112,0.0113,3840000,0.0113,0.0115,0.011
1972-09-15,0.0112,0.0112,0.0112,0.0112,1536000,0.0113,0.0115,0.011
1972-09-18,0.0112,0.0113,0.0112,0.0112,3225600,0.0113,0.0115,0.011
1972-09-19,0.0112,0.0112,0.0111,0.0112,9369600,0.0112,0.0115,0.011
1972-09-20,0.0111,0.0111,0.0111,0.0111,153600,0.0112,0.0115,0.011
1972-09-21,0.011,0.011,0.0107,0.0107,4300800,0.0112,0.0115,0.0109
1972-09-22,0.0107,0.0107,0.0103,0.0103,2611200,0.0112,0.0117,0.0107
1972-09-25,0.0103,0.0103,0.01,0.01,2918400,0.0111,0.0118,0.0104
1972-09-26,0.01,0.01,0.0099,0.01,2150400,0.011,0.0119,0.0102
1972-09-27,0.0099,0.0099,0.0098,0.0098,1996800,0.0109,0.0119,0.01
1972-09-28,0.0099,0.0101,0.0099,0.01,4300800,0.0109,0.0119,0.0098
1972-09-29,0.0101,0.0102,0.0101,0.0102,768000,0.0108,0.0119,0.0097
1972-10-02,0.0102,0.0106,0.0102,0.0106,4915200,0.0108,0.0119,0.0097
1972-10-03,0.0107,0.0108,0.0107,0.0108,1536000,0.0108,0.0118,0.0097
1972-10-04,0.0109,0.0111,0.0109,0.011,4608000,0.0108,0.0118,0.0097
1972-10-05,0.011,0.011,0.0107,0.0107,4147200,0.0107,0.0118,0.0097
1972-10-06,0.0107,0.0107,0.0103,0.0103,29337600,0.0107,0.0117,0.0097
1972-10-09,0.0104,0.0105,0.0104,0.0105,3840000,0.0107,0.0117,0.0097
1972-10-10,0.0105,0.0105,0.0105,0.0105,0,0.0106,0.0116,0.0096
1972-10-11,0.0105,0.0105,0.0104,0.0105,1382400,0.0106,0.0115,0.0097
1972-10-12,0.0105,0.0105,0.0104,0.0104,1075200,0.0105,0.0114,0.0097
1972-10-13,0.0104,0.0104,0.0104,0.0104,153600,0.0105,0.0113,0.0097
1972-10-16,0.0104,0.0104,0.0102,0.0102,1996800,0.0105,0.0112,0.0097
1972-10-17,0.0102,0.0104,0.0101,0.0103,7372800,0.0104,0.0111,0.0097
1972-10-18,0.0104,0.0112,0.0104,0.0111,23347200,0.0104,0.0111,0.0097
1972-10-19,0.0111,0.0112,0.0111,0.0111,31795200,0.0104,0.0112,0.0097
1972-10-20,0.011,0.011,0.011,0.011,153600,0.0105,0.0113,0.0097
1972-10-23,0.011,0.011,0.011,0.011,1382400,0.0105,0.0113,0.0097
1972-10-24,0.011,0.011,0.011,0.011,307200,0.0106,0.0114,0.0098
1972-10-25,0.0109,0.0109,0.0108,0.0108,3686400,0.0106,0.0113,0.0099
1972-10-26,0.0109,0.0109,0.0109,0.0109,153600,0.0107,0.0113,0.01
1972-10-27,0.0109,0.0109,0.0109,0.0109,614400,0.0107,0.0113,0.0101
1972-10-30,0.0109,0.011,0.0109,0.0109,3993600,0.0107,0.0113,0.0101
1972-10-31,0.0109,0.0112,0.0109,0.0112,2150400,0.0107,0.0114,0.0101
1972-11-01,0.0114,0.0118,0.0114,0.0118,6758400,0.0108,0.0116,0.01
1972-11-02,0.0119,0.012,0.0119,0.0119,2150400,0.0108,0.0118,0.0099
1972-11-03,0.0118,0.0118,0.0118,0.0118,4300800,0.0109,0.0119,0.0099
1972-11-06,0.0118,0.0118,0.0118,0.0118,460800,0.011,0.012,0.0099
1972-11-08,0.0119,0.012,0.0119,0.0119,2150400,0.011,0.0121,0.01
1972-11-09,0.0119,0.0119,0.0119,0.0119,2457600,0.0111,0.0123,0.01
1972-11-10,0.0119,0.0119,0.0119,0.0119,0,0.0112,0.0123,0.0101
1972-11-13,0.0119,0.0119,0.0118,0.0119,1228800,0.0113,0.0124,0.0102
1972-11-14,0.0119,0.0119,0.0118,0.0118,460800,0.0114,0.0124,0.0103
1972-11-15,0.0118,0.0118,0.0117,0.0117,1689600,0.0114,0.0123,0.0105
1972-11-16,0.0117,0.0118,0.0117,0.0118,1843200,0.0115,0.0123,0.0106
1972-11-17,0.0118,0.0119,0.0117,0.0117,4147200,0.0115,0.0124,0.0106
1972-11-20,0.0117,0.0118,0.0117,0.0117,460800,0.0115,0.0124,0.0107
1972-11-21,0.0117,0.0119,0.0116,0.0119,1689600,0.0116,0.0124,0.0107
1972-11-22,0.0119,0.0121,0.0119,0.0119,1382400,0.0116,0.0124,0.0108
1972-11-24,0.0119,0.012,0.0119,0.0119,1075200,0.0117,0.0124,0.0109
1972-11-27,0.0119,0.0122,0.0119,0.0122,18739200,0.0117,0.0124,0.0111
1972-11-28,0.0121,0.0121,0.0119,0.0119,10444800,0.0118,0.0123,0.0112
1972-11-29,0.0118,0.0118,0.0113,0.0113,10752000,0.0118,0.0122,0.0114
1972-11-30,0.0112,0.0112,0.0112,0.0112,614400,0.0118,0.0122,0.0114
1972-12-01,0.0113,0.0114,0.0113,0.0114,4454400,0.0118,0.0122,0.0113
1972-12-04,0.0115,0.0119,0.0115,0.0119,2918400,0.0118,0.0122,0.0113
1972-12-05,0.012,0.012,0.012,0.012,3993600,0.0118,0.0123,0.0113
1972-12-06,0.012,0.012,0.012,0.012,1228800,0.0118,0.0123,0.0113
1972-12-07,0.012,0.012,0.0119,0.0119,1996800,0.0118,0.0123,0.0113
1972-12-08,0.0119,0.0119,0.0118,0.0118,29337600,0.0118,0.0123,0.0113
1972-12-11,0.0119,0.0119,0.0119,0.0119,1075200,0.0118,0.0123,0.0113
1972-12-12,0.0118,0.0118,0.0118,0.0118,614400,0.0118,0.0123,0.0113
1972-12-13,0.0118,0.0119,0.0118,0.0119,307200,0.0118,0.0123,0.0113
1972-12-14,0.0119,0.0119,0.0119,0.0119,4915200,0.0118,0.0123,0.0113
1972-12-15,0.0119,0.012,0.0119,0.012,4608000,0.0118,0.0123,0.0113
1972-12-18,0.012,0.012,0.0119,0.0119,4608000,0.0118,0.0123,0.0113
1972-12-19,0.0119,0.012,0.0119,0.012,460800,0.0118,0.0123,0.0114
1972-12-20,0.012,0.012,0.0112,0.012,614400,0.0118,0.0123,0.0114
1972-12-21,0.012,0.012,0.0119,0.0119,27187200,0.0118,0.0123,0.0114
1972-12-22,0.0119,0.012,0.0119,0.012,3686400,0.0118,0.0123,0.0114
1972-12-26,0.012,0.0122,0.0119,0.0119,1843200,0.0118,0.0123,0.0114
1972-12-27,0.0119,0.0119,0.0118,0.0119,2304000,0.0118,0.0123,0.0114
1972-12-29,0.0119,0.012,0.0119,0.012,921600,0.0119,0.0123,0.0115
1973-01-02,0.0121,0.0122,0.0121,0.0121,1382400,0.0119,0.0122,0.0116
1973-01-03,0.012,0.012,0.012,0.012,2304000,0.0119,0.0121,0.0118
1973-01-04,0.012,0.0122,0.012,0.012,5222400,0.0119,0.0121,0.0118
1973-01-05,0.012,0.012,0.0119,0.0119,4761600,0.0119,0.0121,0.0118
1973-01-08,0.0119,0.0119,0.0119,0.0119,1996800,0.0119,0.0121,0.0118
1973-01-09,0.0119,0.0119,0.0116,0.0117,10752000,0.0119,0.0121,0.0117
1973-01-10,0.0117,0.0117,0.0114,0.0114,3840000,0.0119,0.0122,0.0116
1973-01-11,0.0115,0.0117,0.0115,0.0116,3993600,0.0119,0.0122,0.0116
1973-01-12,0.0116,0.0118,0.0116,0.0116,5836800,0.0119,0.0122,0.0115
1973-01-15,0.0115,0.0115,0.0115,0.0115,1075200,0.0119,0.0123,0.0115
1973-01-16,0.0115,0.0117,0.0114,0.0117,10444800,0.0119,0.0123,0.0114
1973-01-17,0.0117,0.0118,0.0116,0.0117,1996800,0.0118,0.0123,0.0114
1973-01-18,0.0117,0.0117,0.0117,0.0117,0,0.0118,0.0122,0.0114
1973-01-19,0.0116,0.0116,0.0115,0.0115,1843200,0.0118,0.0122,0.0114
1973-01-22,0.0115,0.0115,0.0114,0.0114,921600,0.0118,0.0122,0.0113
1973-01-23,0.0114,0.0114,0.011,0.011,4608000,0.0117,0.0123,0.0112
1973-01-24,0.0111,0.0113,0.0111,0.0112,4761600,0.0117,0.0123,0.0111
1973-01-26,0.0111,0.0111,0.0109,0.0111,3379200,0.0116,0.0123,0.011
1973-01-29,0.011,0.011,0.0107,0.0107,2918400,0.0116,0.0123,0.0108
1973-01-30,0.0106,0.0106,0.0105,0.0105,3840000,0.0115,0.0124,0.0106
1973-01-31,0.0105,0.0105,0.0103,0.0103,1536000,0.0114,0.0124,0.0104
1973-02-01,0.0104,0.0107,0.0104,0.0105,9369600,0.0113,0.0124,0.0103
1973-02-02,0.0105,0.0107,0.0105,0.0105,7680000,0.0113,0.0123,0.0102
1973-02-05,0.0105,0.0105,0.0105,0.0105,307200,0.0112,0.0122,0.0102
