Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1962-01-02,0.0888,0.0894,0.0888,0.0888,902400,0.0888,,
1962-01-03,0.0888,0.0901,0.0888,0.0901,1200000,0.0894,0.0913,0.0875
1962-01-04,0.0901,0.0907,0.0899,0.0903,1088000,0.0897,0.0914,0.088
1962-01-05,0.0903,0.0907,0.0881,0.0883,1222400,0.0894,0.0913,0.0874
1962-01-08,0.0883,0.089,0.087,0.0881,1388800,0.0891,0.0911,0.0871
1962-01-09,0.0881,0.0888,0.0877,0.0879,1065600,0.0889,0.091,0.0868
1962-01-10,0.0879,0.0879,0.0872,0.0874,828800,0.0887,0.0909,0.0865
1962-01-11,0.0877,0.0883,0.0877,0.0883,617600,0.0886,0.0907,0.0866
1962-01-12,0.0885,0.0896,0.0885,0.0896,1398400,0.0888,0.0908,0.0867
1962-01-15,0.0896,0.0896,0.0888,0.0896,966400,0.0888,0.0908,0.0869
1962-01-16,0.0896,0.0896,0.089,0.089,569600,0.0889,0.0907,0.087
1962-01-17,0.089,0.0896,0.0879,0.0885,832000,0.0888,0.0906,0.087
1962-01-18,0.0885,0.089,0.0881,0.0888,844800,0.0888,0.0906,0.0871
1962-01-19,0.0888,0.0894,0.0888,0.0894,720000,0.0889,0.0906,0.0872
1962-01-22,0.0894,0.0896,0.0892,0.0896,745600,0.0889,0.0906,0.0872
1962-01-23,0.0894,0.0894,0.0888,0.089,908800,0.0889,0.0905,0.0873
1962-01-24,0.089,0.0892,0.0883,0.089,841600,0.0889,0.0905,0.0873
1962-01-25,0.089,0.0896,0.089,0.0892,1078400,0.0889,0.0905,0.0874
1962-01-26,0.0892,0.0896,0.089,0.0896,832000,0.089,0.0905,0.0875
1962-01-29,0.0896,0.0912,0.0896,0.091,1462400,0.0891,0.0908,0.0873
1962-01-30,0.0912,0.0918,0.0912,0.0918,1843200,0.0892,0.0913,0.0871
1962-01-31,0.092,0.0931,0.092,0.0931,1718400,0.0894,0.0921,0.0867
1962-02-01,0.0931,0.0949,0.0931,0.0949,2371200,0.0896,0.0933,0.0859
1962-02-02,0.0949,0.0969,0.0947,0.0969,2310400,0.09,0.0949,0.0852
1962-02-05,0.0971,0.0984,0.0971,0.0978,1977600,0.0905,0.0964,0.0847
1962-02-06,0.0975,0.0975,0.0962,0.0964,1446400,0.091,0.0972,0.0847
1962-02-07,0.0973,0.0973,0.0957,0.0973,1126400,0.0914,0.0981,0.0848
1962-02-08,0.0973,0.0977,0.0971,0.0973,684800,0.0919,0.0989,0.0849
1962-02-09,0.0966,0.0966,0.0962,0.0962,563200,0.0922,0.0993,0.0851
1962-02-12,0.0962,0.0966,0.096,0.0964,428800,0.0926,0.0998,0.0853
1962-02-13,0.0964,0.0964,0.0944,0.0957,873600,0.0929,0.1001,0.0857
1962-02-14,0.0957,0.0968,0.0951,0.0968,636800,0.0933,0.1004,0.0862
1962-02-15,0.0968,0.0973,0.0964,0.0971,742400,0.0937,0.1007,0.0868
1962-02-16,0.0971,0.0977,0.0968,0.0973,816000,0.0941,0.1009,0.0873
1962-02-19,0.0973,0.0993,0.0973,0.0988,1657600,0.0946,0.1013,0.0878
1962-02-20,0.0988,0.0995,0.0984,0.0993,800000,0.0951,0.1016,0.0886
1962-02-21,0.0993,0.0993,0.0977,0.0977,681600,0.0955,0.1015,0.0896
1962-02-23,0.0977,0.098,0.0971,0.098,793600,0.096,0.1012,0.0907
1962-02-26,0.098,0.0982,0.0973,0.0973,640000,0.0964,0.1007,0.092
1962-02-27,0.0973,0.0988,0.0973,0.0982,908800,0.0967,0.1003,0.0932
1962-02-28,0.0982,0.1,0.0982,0.0984,2131200,0.097,0.0998,0.0943
1962-03-01,0.0984,0.0993,0.098,0.0991,899200,0.0973,0.0996,0.0951
1962-03-02,0.0991,0.0993,0.0982,0.0982,838400,0.0975,0.0994,0.0956
1962-03-05,0.0982,0.0982,0.0977,0.0977,1011200,0.0975,0.0995,0.0956
1962-03-06,0.0977,0.0977,0.0973,0.0975,550400,0.0975,0.0995,0.0956
1962-03-07,0.0975,0.0977,0.0966,0.0971,985600,0.0976,0.0994,0.0957
1962-03-08,0.0962,0.0962,0.0948,0.0955,1190400,0.0975,0.0996,0.0954
1962-03-09,0.0957,0.0964,0.0957,0.0962,825600,0.0974,0.0996,0.0953
1962-03-12,0.0957,0.0957,0.0948,0.0955,611200,0.0974,0.0996,0.0951
1962-03-13,0.0955,0.096,0.0953,0.0957,656000,0.0974,0.0997,0.095
1962-03-14,0.0957,0.0964,0.0955,0.0964,681600,0.0974,0.0996,0.0951
1962-03-15,0.0964,0.0982,0.0964,0.098,1107200,0.0974,0.0997,0.0952
1962-03-16,0.0977,0.0977,0.0968,0.0975,624000,0.0975,0.0997,0.0952
1962-03-19,0.0975,0.098,0.0968,0.0977,809600,0.0975,0.0997,0.0952
1962-03-20,0.0977,0.0977,0.0962,0.0966,822400,0.0974,0.0996,0.0952
1962-03-21,0.0966,0.0968,0.0962,0.0964,764800,0.0972,0.0993,0.0952
1962-03-22,0.0964,0.0966,0.096,0.0962,633600,0.0972,0.0992,0.0951
1962-03-23,0.0962,0.0964,0.096,0.0964,768000,0.0971,0.0991,0.095
1962-03-26,0.0964,0.0966,0.0962,0.0964,678400,0.097,0.0991,0.095
1962-03-27,0.0964,0.0968,0.096,0.0964,694400,0.0969,0.099,0.0949
1962-03-28,0.0964,0.0975,0.0964,0.0973,688000,0.0969,0.0988,0.095
1962-03-29,0.0973,0.0977,0.0973,0.0973,604800,0.0968,0.0984,0.0952
1962-03-30,0.0973,0.0973,0.0968,0.0971,809600,0.0967,0.0982,0.0952
1962-04-02,0.0971,0.0975,0.0968,0.0971,716800,0.0967,0.0981,0.0953
1962-04-03,0.0971,0.0971,0.0951,0.0957,931200,0.0966,0.0981,0.0952
1962-04-04,0.0957,0.0957,0.094,0.0946,1033600,0.0965,0.0982,0.0948
1962-04-05,0.0946,0.0951,0.0933,0.0951,700800,0.0965,0.0982,0.0947
1962-04-06,0.0951,0.0957,0.0944,0.0946,569600,0.0964,0.0983,0.0945
1962-04-09,0.0946,0.0951,0.0928,0.0928,716800,0.0963,0.0987,0.0938
1962-04-10,0.0928,0.0946,0.0924,0.0946,937600,0.0962,0.0988,0.0936
1962-04-11,0.0946,0.0962,0.0946,0.0946,720000,0.0961,0.0988,0.0934
1962-04-12,0.0942,0.0942,0.0935,0.0935,947200,0.0959,0.0987,0.0931
1962-04-13,0.0935,0.0946,0.0931,0.0946,710400,0.0958,0.0985,0.093
1962-04-16,0.0946,0.0946,0.0935,0.0944,812800,0.0956,0.0982,0.093
1962-04-17,0.0944,0.0957,0.094,0.0957,1110400,0.0955,0.0981,0.093
1962-04-18,0.096,0.0971,0.096,0.0971,1084800,0.0956,0.0982,0.0929
1962-04-19,0.0971,0.0982,0.0971,0.0982,1385600,0.0957,0.0985,0.0928
1962-04-23,0.0982,0.0986,0.098,0.0986,1081600,0.0958,0.0989,0.0926
1962-04-24,0.0986,0.0988,0.0984,0.0986,1104000,0.0959,0.0993,0.0925
1962-04-25,0.0986,0.0993,0.0984,0.0993,1180800,0.096,0.0997,0.0923
1962-04-26,0.0993,0.0993,0.098,0.098,2009600,0.0961,0.0998,0.0923
1962-04-27,0.098,0.0984,0.0966,0.0973,1139200,0.0961,0.0998,0.0923
1962-04-30,0.0973,0.0973,0.0951,0.0951,1222400,0.096,0.0997,0.0922
1962-05-01,0.0951,0.0966,0.0944,0.0966,1430400,0.096,0.0997,0.0922
1962-05-02,0.0966,0.0975,0.0966,0.0975,931200,0.096,0.0998,0.0922
1962-05-03,0.0975,0.0984,0.0975,0.0977,1155200,0.0962,0.1,0.0924
1962-05-04,0.0977,0.098,0.0973,0.0977,940800,0.0963,0.1002,0.0925
1962-05-07,0.0975,0.0975,0.0971,0.0975,534400,0.0965,0.1002,0.0927
1962-05-08,0.0975,0.0982,0.0973,0.0975,1004800,0.0967,0.1001,0.0933
1962-05-09,0.0975,0.0975,0.0966,0.097,988800,0.0968,0.1001,0.0936
1962-05-10,0.097,0.097,0.0957,0.0959,1475200,0.0969,0.1,0.0938
1962-05-11,0.0959,0.0961,0.0945,0.0945,1081600,0.0969,0.0998,0.094
1962-05-14,0.0943,0.0943,0.091,0.0939,1987200,0.0969,0.0999,0.0939
